Time,data
1738244948.7249293,3
1738244948.7385798,3
1738244948.7440228,3
1738244948.7537398,3
1738244948.7642515,3
1738244948.7740345,3
1738244948.7850704,3
1738244948.7961829,3
1738244948.8046923,3
1738244948.816334,3
1738244948.824163,3
1738244948.8331194,3
1738244948.845668,3
1738244948.8539157,3
1738244948.865142,3
1738244948.8732967,3
1738244948.8843963,3
1738244948.8939059,3
1738244948.904434,3
1738244948.9153082,3
1738244948.9232652,3
1738244948.9337122,3
1738244948.9433527,3
1738244948.955878,3
1738244948.9637473,3
1738244948.9740376,3
1738244948.983619,3
1738244948.995799,3
1738244949.004331,3
1738244949.0136688,3
1738244949.0257208,3
1738244949.033149,3
1738244949.0427806,3
1738244949.0521395,3
1738244949.0619779,3
1738244949.0741956,3
1738244949.0847902,3
1738244949.0939434,3
1738244949.1047676,3
1738244949.1124523,3
1738244949.1219285,3
1738244949.1318328,3
1738244949.142865,3
1738244949.1526072,3
1738244949.1626244,3
1738244949.174878,3
1738244949.1816795,3
1738244949.1914754,3
1738244949.20175,3
1738244949.212735,3
1738244949.2231855,3
1738244949.232789,3
1738244949.2430644,2
1738244949.2535312,2
1738244949.2620597,2
1738244949.2728128,0
1738244949.282928,0
1738244949.2927618,0
1738244949.3021054,0
1738244949.3116562,0
1738244949.3239534,0
1738244949.3348432,0
1738244949.3437543,0
1738244949.3531926,0
1738244949.3655555,0
1738244949.3757832,0
1738244949.384836,0
1738244949.393879,0
1738244949.404093,0
1738244949.415252,0
1738244949.4253967,0
1738244949.4352343,0
1738244949.444952,0
1738244949.4572496,0
1738244949.467594,0
1738244949.478178,0
1738244949.4871206,0
1738244949.4966865,0
1738244949.5070236,0
1738244949.5171928,0
1738244949.5291436,0
1738244949.5413418,0
1738244949.5495243,0
1738244949.5593822,0
1738244949.568395,0
1738244949.5804718,0
1738244949.5908716,0
1738244949.6018078,0
1738244949.6101587,0
1738244949.621387,0
1738244949.6333673,0
1738244949.6419914,0
1738244949.6507728,0
1738244949.6627932,0
1738244949.6729085,0
1738244949.6817794,0
1738244949.6943343,0
1738244949.7053611,0
1738244949.7159197,0
1738244949.7259269,0
1738244949.7348218,0
1738244949.743969,0
1738244949.757151,0
1738244949.7672923,0
1738244949.7770712,0
1738244949.7849724,0
1738244949.7984622,0
1738244949.8076813,0
1738244949.8177593,0
1738244949.8272717,0
1738244949.8374705,0
1738244949.8479683,0
1738244949.8602874,0
1738244949.8723772,0
1738244949.8788612,0
1738244949.890039,0
1738244949.9022398,0
1738244949.9125857,0
1738244949.9221272,0
1738244949.9322166,0
1738244949.9417882,0
1738244949.9535818,0
1738244949.9659443,0
1738244949.9746375,0
1738244949.984714,0
1738244949.9944115,0
1738244950.0057328,0
1738244950.017251,0
1738244950.0281563,0
1738244950.0379775,0
1738244950.0497046,0
1738244950.0592833,3
1738244950.0698328,3
1738244950.0807345,3
1738244950.0928075,3
1738244950.1014576,3
1738244950.1125367,3
1738244950.122451,3
1738244950.132059,3
1738244950.144915,3
1738244950.1552823,3
1738244950.1638405,3
1738244950.1743252,3
1738244950.1873734,3
1738244950.1973422,3
1738244950.20715,3
1738244950.2182143,3
1738244950.230618,3
1738244950.2420409,3
1738244950.2491775,3
1738244950.2635367,3
1738244950.2706792,3
1738244950.2817888,3
1738244950.2929704,3
1738244950.3030825,3
1738244950.3132308,3
1738244950.322133,3
1738244950.3320534,3
1738244950.345052,3
1738244950.3546028,3
1738244950.3651009,3
1738244950.375063,3
1738244950.3852997,3
1738244950.39479,3
1738244950.4066863,3
1738244950.4178584,3
1738244950.426783,3
1738244950.4356694,3
1738244950.4460688,4
1738244950.4585953,4
1738244950.46732,4
1738244950.477236,4
1738244950.48947,4
1738244950.4996893,4
1738244950.5099888,4
1738244950.5203016,4
1738244950.530101,4
1738244950.5398695,4
1738244950.5504801,4
1738244950.5625093,4
1738244950.5715957,3
1738244950.581566,3
1738244950.5918097,4
1738244950.601051,4
1738244950.6114452,4
1738244950.6219332,4
1738244950.632091,4
1738244950.6421356,4
1738244950.6513946,4
1738244950.6606054,3
1738244950.6719801,3
1738244950.681631,3
1738244950.6921237,3
1738244950.7013237,3
1738244950.7137778,3
1738244950.7209857,3
1738244950.7303395,3
1738244950.7421958,3
1738244950.7513509,3
1738244950.7633762,3
1738244950.7729573,3
1738244950.7821877,3
1738244950.790563,3
1738244950.8024836,3
1738244950.8112864,3
1738244950.8215268,3
1738244950.8309345,3
1738244950.8415823,3
1738244950.8515718,3
1738244950.8608124,3
1738244950.8715296,3
1738244950.88122,3
1738244950.8903966,3
1738244950.900246,3
1738244950.911239,3
1738244950.9218652,3
1738244950.9301188,3
1738244950.9419768,3
1738244950.9513662,3
1738244950.9606438,3
1738244950.9723938,3
1738244950.980991,3
1738244950.9895897,3
1738244950.9993412,3
1738244951.0091171,3
1738244951.0200331,3
1738244951.0322042,3
1738244951.0408483,3
1738244951.050965,3
1738244951.0615613,3
1738244951.0689504,3
1738244951.078495,3
1738244951.0880258,3
1738244951.1003368,3
1738244951.1088238,3
1738244951.1196713,3
1738244951.130915,3
1738244951.1398861,3
1738244951.147954,3
1738244951.1607876,2
1738244951.1698103,2
1738244951.1798408,0
1738244951.1899326,0
1738244951.2010455,0
1738244951.2094047,0
1738244951.2213564,0
1738244951.2307227,0
1738244951.239447,0
1738244951.2498558,0
1738244951.2598257,0
1738244951.2688363,0
1738244951.2797403,0
1738244951.2914436,0
1738244951.300549,0
1738244951.3110101,0
1738244951.3204246,0
1738244951.3316646,0
1738244951.3421776,0
1738244951.3522708,0
1738244951.3639662,0
1738244951.3717666,0
1738244951.382996,0
1738244951.3918784,0
1738244951.4044893,0
1738244951.4140801,0
1738244951.4241722,0
1738244951.434692,0
1738244951.445131,0
1738244951.4536512,0
1738244951.4663281,0
1738244951.4759133,0
1738244951.4858053,0
1738244951.4986217,0
1738244951.5059285,0
1738244951.515495,0
1738244951.5285518,0
1738244951.538018,0
1738244951.547516,0
1738244951.5610144,0
1738244951.5684974,0
1738244951.5779073,0
1738244951.5905025,0
1738244951.6001177,0
1738244951.6114233,0
1738244951.6202602,0
1738244951.6292968,0
1738244951.6398892,0
1738244951.65166,0
1738244951.6627352,0
1738244951.672858,0
1738244951.6826816,0
1738244951.6948776,0
1738244951.7021465,0
1738244951.713797,0
1738244951.7262235,0
1738244951.7359943,0
1738244951.7461908,0
1738244951.755595,0
1738244951.7676773,0
1738244951.776597,0
1738244951.788649,0
1738244951.7978773,0
1738244951.8096118,0
1738244951.8176556,0
1738244951.828232,0
1738244951.8406105,0
1738244951.8501434,0
1738244951.861191,0
1738244951.8713474,0
1738244951.8836668,3
1738244951.891623,3
1738244951.9046648,3
1738244951.9142003,3
1738244951.9249861,3
1738244951.934667,3
1738244951.945311,3
1738244951.9558604,3
1738244951.9671285,3
1738244951.9772105,3
1738244951.9887521,3
1738244951.9981775,3
1738244952.0076027,3
1738244952.0183918,3
1738244952.0301957,3
1738244952.0418189,3
1738244952.0530145,3
1738244952.0630057,3
1738244952.073768,3
1738244952.08151,3
1738244952.0944602,3
1738244952.1055927,3
1738244952.1150234,3
1738244952.1245332,3
1738244952.1341238,3
1738244952.1452801,3
1738244952.1550975,3
1738244952.168691,3
1738244952.1781292,3
1738244952.187207,3
1738244952.1971345,3
1738244952.2096457,3
1738244952.2191818,3
1738244952.2296784,3
1738244952.238938,3
1738244952.2487724,3
1738244952.2606392,3
1738244952.2695255,3
1738244952.2820253,3
1738244952.292729,3
1738244952.3012047,3
1738244952.3131332,3
1738244952.3229337,3
1738244952.3319907,4
1738244952.344002,4
1738244952.3529682,4
1738244952.3654907,4
1738244952.3751826,4
1738244952.383709,4
1738244952.3938975,4
1738244952.4068038,3
1738244952.4163673,3
1738244952.4251676,3
1738244952.4356775,3
1738244952.4455152,3
1738244952.454202,3
1738244952.4678595,4
1738244952.4749432,4
1738244952.4854379,4
1738244952.4968128,4
1738244952.5049264,3
1738244952.5141778,3
1738244952.5260818,3
1738244952.5346282,3
1738244952.5465407,3
1738244952.5553153,3
1738244952.5676215,3
1738244952.5750022,3
1738244952.585249,3
1738244952.5975683,3
1738244952.605163,3
1738244952.6160626,3
1738244952.6270912,3
1738244952.6349409,3
1738244952.6440544,3
1738244952.6554291,3
1738244952.6664627,3
1738244952.6741893,3
1738244952.6864913,3
1738244952.6952767,3
1738244952.7040098,3
1738244952.7149563,3
1738244952.7242653,3
1738244952.7354035,3
1738244952.74471,3
1738244952.7530835,3
1738244952.7638266,3
1738244952.7740736,3
1738244952.7854288,3
1738244952.7940798,3
1738244952.8029175,3
1738244952.8138227,3
1738244952.8239658,3
1738244952.8337975,3
1738244952.8437614,3
1738244952.8527265,3
1738244952.8633537,3
1738244952.8743396,3
1738244952.8814511,3
1738244952.8937917,3
1738244952.9026725,3
1738244952.912855,3
1738244952.9225204,3
1738244952.9332962,3
1738244952.9422607,3
1738244952.9540925,3
1738244952.9636376,3
1738244952.972652,3
1738244952.9842145,3
1738244952.991816,3
1738244953.0013814,3
1738244953.0131462,3
1738244953.0220525,3
1738244953.0333896,3
1738244953.042492,2
1738244953.052252,0
1738244953.063912,0
1738244953.0719852,0
1738244953.081963,0
1738244953.0932868,0
1738244953.1042452,0
1738244953.114719,0
1738244953.1223502,0
1738244953.135243,0
1738244953.142104,0
1738244953.1554618,0
1738244953.1636808,0
1738244953.175596,0
1738244953.185388,0
1738244953.1931958,0
1738244953.203333,0
1738244953.213719,0
1738244953.2240825,0
1738244953.2361653,0
1738244953.2444227,0
1738244953.255686,0
1738244953.265877,0
1738244953.2767854,0
1738244953.287032,0
1738244953.2973175,0
1738244953.306933,0
1738244953.3174064,0
1738244953.3266098,0
1738244953.3398032,0
1738244953.3499396,0
1738244953.3581512,0
1738244953.3696115,0
1738244953.3793392,0
1738244953.388436,0
1738244953.3993556,0
1738244953.4103563,0
1738244953.4215164,0
1738244953.4314482,0
1738244953.4406226,0
1738244953.4493282,0
1738244953.463558,0
1738244953.4711664,0
1738244953.4820635,0
1738244953.4917254,0
1738244953.5018651,0
1738244953.512553,0
1738244953.5248468,0
1738244953.532939,0
1738244953.545727,0
1738244953.5539992,0
1738244953.5643456,0
1738244953.573636,0
1738244953.5870068,0
1738244953.59618,0
1738244953.6061292,0
1738244953.616977,0
1738244953.6281435,0
1738244953.6369116,0
1738244953.6500404,0
1738244953.658235,0
1738244953.668779,0
1738244953.6798255,0
1738244953.6898084,0
1738244953.7010942,0
1738244953.7119102,0
1738244953.72172,0
1738244953.7328823,0
1738244953.742825,0
1738244953.7520747,0
1738244953.7657425,0
1738244953.775377,0
1738244953.7847974,0
1738244953.797814,0
1738244953.8065753,3
1738244953.815595,3
1738244953.8281891,3
1738244953.8379657,3
1738244953.8479116,3
1738244953.8575947,3
1738244953.8708231,3
1738244953.88143,3
1738244953.8907025,3
1738244953.9002657,3
1738244953.9137821,3
1738244953.9226356,3
1738244953.933655,3
1738244953.9441993,3
1738244953.9530528,3
1738244953.966052,3
1738244953.9749098,3
1738244953.9856157,3
1738244953.9970787,3
1738244954.0068898,3
1738244954.0162013,3
1738244954.0277276,3
1738244954.0382023,3
1738244954.0481591,3
1738244954.0589006,3
1738244954.0691392,3
1738244954.078304,3
1738244954.091666,3
1738244954.098892,3
1738244954.1108818,3
1738244954.119783,3
1738244954.131985,3
1738244954.1414688,3
1738244954.1522877,3
1738244954.1626976,3
1738244954.1728292,3
1738244954.182997,3
1738244954.1957192,4
1738244954.2036989,4
1738244954.2156522,4
1738244954.2250097,4
1738244954.2364712,4
1738244954.244613,4
1738244954.2576423,4
1738244954.2673066,4
1738244954.2780023,4
1738244954.2877505,4
1738244954.298281,4
1738244954.307439,4
1738244954.3178883,4
1738244954.328206,4
1738244954.3373609,4
1738244954.3475575,4
1738244954.3583708,4
1738244954.369355,4
1738244954.3779128,4
1738244954.3884573,4
1738244954.3974123,3
1738244954.407067,3
1738244954.4194324,3
1738244954.4273353,3
1738244954.4381042,3
1738244954.44792,3
1738244954.457036,3
1738244954.466789,3
1738244954.4778473,3
1738244954.4889185,3
1738244954.4962795,3
1738244954.5059998,3
1738244954.5180929,3
1738244954.52796,3
1738244954.5372963,3
1738244954.5468228,3
1738244954.5576508,3
1738244954.5680974,3
1738244954.5765476,3
1738244954.5893354,3
1738244954.596986,3
1738244954.605886,3
1738244954.615788,3
1738244954.6277707,3
1738244954.635404,3
