Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_stamp,quat_x,quat_y,quat_z,quat_w,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,gravity_x,gravity_y,gravity_z
1738244948.7208972,55630,0,0,,0.0,-0.43,0.39,0.65,0.48,-0.54,0.05,-0.9,-5.84,1.52,6.92,0.0,0.0,0.0,-9.25,0.95,3.08
1738244948.7380898,55631,0,0,,0.0,-0.44,0.38,0.65,0.49,-0.51,-0.22,-1.07,-5.56,2.08,6.32,0.0,0.0,0.0,-9.25,0.73,3.15
1738244948.7548363,55632,0,0,,0.0,-0.44,0.38,0.65,0.49,-0.3,-0.69,-1.06,-5.01,3.12,5.69,0.0,0.0,0.0,-9.22,0.54,3.29
1738244948.7708352,55633,0,0,,0.0,-0.44,0.37,0.65,0.5,-0.1,-0.99,-0.58,-4.42,3.06,4.95,0.0,0.0,0.0,-9.19,0.48,3.38
1738244948.7873957,55634,0,0,,0.0,-0.43,0.37,0.66,0.5,-0.01,-1.09,-0.3,-3.96,2.57,4.79,0.0,0.0,0.0,-9.11,0.45,3.58
1738244948.8051224,55635,0,0,,0.0,-0.42,0.36,0.66,0.51,0.15,-1.32,0.13,-4.0,2.17,4.92,0.0,0.0,0.0,-9.06,0.47,3.7
1738244948.82145,55636,0,0,,0.0,-0.41,0.36,0.67,0.51,0.25,-1.64,0.37,-4.2,1.68,5.34,0.0,0.0,0.0,-8.95,0.55,3.96
1738244948.8379169,55637,0,0,,0.0,-0.4,0.35,0.67,0.51,0.29,-1.85,0.47,-4.33,1.18,4.94,0.0,0.0,0.0,-8.78,0.66,4.29
1738244948.8552008,55638,0,0,,0.0,-0.38,0.35,0.68,0.52,0.42,-2.21,0.69,-4.34,1.25,4.62,0.0,0.0,0.0,-8.68,0.74,4.48
1738244948.8711758,55639,0,0,,0.0,-0.37,0.34,0.69,0.52,0.5,-2.37,1.0,-4.71,1.23,4.16,0.0,0.0,0.0,-8.46,0.93,4.86
1738244948.888162,55640,0,0,,0.0,-0.34,0.34,0.7,0.52,0.53,-2.38,1.18,-5.34,0.83,4.7,0.0,0.0,0.0,-8.2,1.19,5.23
1738244948.9050725,55641,0,0,,0.0,-0.32,0.34,0.72,0.52,0.64,-2.4,1.48,-5.76,0.35,5.05,0.0,0.0,0.0,-7.9,1.5,5.59
1738244948.9212444,55642,0,0,,0.0,-0.3,0.34,0.72,0.52,0.85,-2.52,1.54,-7.54,0.76,6.23,0.0,0.0,0.0,-7.74,1.66,5.77
1738244948.9375927,55643,0,0,,0.0,-0.28,0.33,0.74,0.52,0.84,-2.62,1.58,-7.8,1.52,5.59,0.0,0.0,0.0,-7.38,2.0,6.13
1738244948.9554307,55644,0,0,,0.0,-0.25,0.33,0.75,0.52,0.71,-2.67,1.85,-8.08,2.02,5.21,0.0,0.0,0.0,-7.18,2.17,6.31
1738244948.9715414,55645,0,0,,0.0,-0.23,0.33,0.76,0.51,0.55,-2.53,2.24,-8.55,2.03,5.26,0.0,0.0,0.0,-6.76,2.53,6.63
1738244948.9879932,55646,0,0,,0.0,-0.2,0.32,0.77,0.5,0.48,-2.48,2.38,-9.17,1.07,6.04,0.0,0.0,0.0,-6.31,2.9,6.92
1738244949.0054874,55647,0,0,,0.0,-0.18,0.32,0.79,0.49,0.44,-2.5,2.48,-9.07,0.36,5.97,0.0,0.0,0.0,-6.07,3.08,7.05
1738244949.0215614,55648,0,0,,0.0,-0.16,0.32,0.8,0.49,0.56,-2.54,2.29,-10.21,0.79,7.65,0.0,0.0,0.0,-5.57,3.42,7.3
1738244949.0380633,55649,0,0,,0.0,-0.13,0.31,0.81,0.48,0.58,-2.61,2.18,-10.51,1.26,7.87,0.0,0.0,0.0,-5.03,3.72,7.54
1738244949.0552273,55650,0,0,,0.0,-0.1,0.31,0.82,0.48,0.57,-2.78,2.04,-10.25,0.6,7.24,0.0,0.0,0.0,-4.76,3.86,7.65
1738244949.0719283,55651,0,0,,0.0,-0.09,0.31,0.82,0.47,0.69,-2.58,1.75,-11.4,1.45,7.85,0.0,0.0,0.0,-4.22,4.12,7.83
1738244949.0884786,55652,0,0,,0.0,-0.06,0.3,0.83,0.47,0.66,-2.51,1.6,-11.53,1.91,7.83,0.0,0.0,0.0,-3.72,4.33,7.97
1738244949.106035,55653,0,0,,0.0,-0.04,0.29,0.84,0.46,0.42,-2.3,1.42,-11.53,2.49,6.65,0.0,0.0,0.0,-3.48,4.41,8.03
1738244949.1222475,55654,0,0,,0.0,-0.03,0.29,0.84,0.46,0.21,-1.85,1.3,-10.77,1.65,5.41,0.0,0.0,0.0,-3.05,4.53,8.13
1738244949.138739,55655,0,0,,0.0,-0.01,0.29,0.84,0.46,0.15,-1.5,1.2,-11.61,1.61,6.31,0.0,0.0,0.0,-2.72,4.62,8.2
1738244949.156233,55656,0,0,,0.0,-0.0,0.28,0.85,0.45,-0.12,-1.15,1.03,-11.13,0.48,5.96,0.0,0.0,0.0,-2.47,4.63,8.27
1738244949.17304,55657,0,0,,0.0,0.0,0.28,0.85,0.45,-0.45,-0.76,0.54,-10.25,0.17,5.52,0.0,0.0,0.0,-2.39,4.61,8.31
1738244949.1886287,55658,0,0,,0.0,0.0,0.27,0.85,0.45,-0.7,-0.53,0.22,-9.21,-0.55,4.91,0.0,0.0,0.0,-2.31,4.49,8.4
1738244949.2061648,55659,0,0,,0.0,-0.0,0.26,0.85,0.45,-0.88,-0.08,-0.24,-8.61,-0.19,4.15,0.0,0.0,0.0,-2.35,4.33,8.47
1738244949.2231717,55660,0,0,,0.0,-0.01,0.26,0.85,0.45,-0.89,0.64,-0.44,-9.32,0.6,4.6,0.0,0.0,0.0,-2.42,4.24,8.49
1738244949.2391362,55661,0,0,,0.0,-0.02,0.26,0.85,0.45,-0.84,0.95,-0.39,-10.56,-0.12,4.7,0.0,0.0,0.0,-2.62,4.09,8.51
1738244949.2565227,55662,0,0,,0.0,-0.03,0.26,0.85,0.45,-0.72,1.21,-0.33,-9.76,-0.86,4.72,0.0,0.0,0.0,-2.85,3.96,8.5
1738244949.273501,55663,0,0,,0.0,-0.04,0.25,0.85,0.45,-1.12,1.08,-0.42,-9.45,4.19,12.1,0.0,0.0,0.0,-2.95,3.86,8.51
1738244949.2889438,55664,0,0,,0.0,-0.05,0.24,0.86,0.45,-1.0,-1.0,0.21,7.01,5.36,8.71,0.0,0.0,0.0,-2.91,3.64,8.62
1738244949.3058264,55665,0,0,,0.0,-0.04,0.24,0.86,0.46,0.07,-0.97,0.0,7.28,10.86,4.8,0.0,0.0,0.0,-2.88,3.59,8.65
1738244949.3230016,55666,0,0,,0.0,-0.05,0.24,0.86,0.46,-0.72,0.83,-0.37,-9.56,2.21,9.61,0.0,0.0,0.0,-2.96,3.52,8.65
1738244949.3385458,55667,0,0,,0.0,-0.05,0.23,0.86,0.46,-0.62,0.47,-0.23,-3.7,0.88,9.78,0.0,0.0,0.0,-3.01,3.44,8.67
