Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1738244948.5014591,3,1738244948,484078719,,2,/record_1738244948431414325,Subscribing to /foot/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.5014808,4,1738244948,487095500,,2,/record_1738244948431414325,Subscribing to /shank/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.5014923,5,1738244948,489206398,,2,/record_1738244948431414325,Subscribing to /insole_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.501502,6,1738244948,491490191,,2,/record_1738244948431414325,Subscribing to /vGRF,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.501512,7,1738244948,494260890,,2,/record_1738244948431414325,Subscribing to /insole_data_filtered,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.5015166,8,1738244948,496996741,,2,/record_1738244948431414325,Subscribing to /CoP,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.5015252,9,1738244948,499058524,,2,/record_1738244948431414325,Subscribing to /ankle_joint/angle,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244948.7105167,103,1738243956,872702121,,2,/imus_data_acq_2669_1738243904469,IMUs on port /dev/ttyUSB0 calibrated!,imus_data_acquisition.py,IMUBNOArduinoNode.calibrate_imu,38,"['/rosout', '/shank/imu_data', '/foot/imu_data']"
1738244948.710878,6,1738243977,206836700,,2,/insole_acquisition_2748_1738243977047,Starting Insole Acquisition,insole_acquisition.py,ArduinoNode.run,53,"['/rosout', '/insole_data']"
1738244948.7123609,275,1738244870,100832462,,2,/ankle_angle_estimator_3290_1738244864935,Publishing Ankle Angle,ankle_angle_estimator.py,AnkleAngleEstimator.initialize,90,"['/ankle_joint/angle', '/foot/imu_data', '/shank/imu_data', '/rosout']"
