Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_stamp,quat_x,quat_y,quat_z,quat_w,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,gravity_x,gravity_y,gravity_z
1738244948.7206743,55630,0,0,,0.0,-0.83,0.39,0.29,0.28,0.12,1.13,-0.26,-7.44,-1.15,-4.82,0.0,0.0,0.0,-6.89,-2.3,-6.58
1738244948.738187,55631,0,0,,0.0,-0.83,0.39,0.28,0.28,0.25,0.9,-0.14,-7.03,-1.64,-4.77,0.0,0.0,0.0,-6.78,-2.35,-6.67
1738244948.7547553,55632,0,0,,0.0,-0.83,0.39,0.28,0.28,0.46,0.4,0.02,-6.64,-1.73,-4.56,0.0,0.0,0.0,-6.76,-2.38,-6.68
1738244948.7709763,55633,0,0,,0.0,-0.83,0.4,0.28,0.29,0.54,-0.12,0.17,-6.05,-1.31,-4.11,0.0,0.0,0.0,-6.76,-2.43,-6.66
1738244948.7877262,55634,0,0,,0.0,-0.82,0.4,0.28,0.29,0.51,-0.37,0.24,-5.89,-1.01,-3.96,0.0,0.0,0.0,-6.84,-2.46,-6.57
1738244948.8051455,55635,0,0,,0.0,-0.82,0.4,0.29,0.29,0.28,-0.88,0.43,-5.31,-0.93,-3.73,0.0,0.0,0.0,-6.91,-2.44,-6.51
1738244948.821397,55636,0,0,,0.0,-0.81,0.4,0.3,0.3,0.08,-1.35,0.61,-5.02,-1.12,-3.65,0.0,0.0,0.0,-7.09,-2.38,-6.33
1738244948.8381035,55637,0,0,,0.0,-0.81,0.4,0.31,0.3,-0.02,-1.56,0.68,-4.98,-1.84,-3.61,0.0,0.0,0.0,-7.32,-2.29,-6.1
1738244948.855418,55638,0,0,,0.0,-0.8,0.4,0.32,0.3,-0.14,-1.97,0.74,-4.94,-2.13,-3.64,0.0,0.0,0.0,-7.45,-2.23,-5.97
1738244948.8711839,55639,0,0,,0.0,-0.79,0.4,0.34,0.31,-0.22,-2.34,0.88,-5.3,-2.43,-3.98,0.0,0.0,0.0,-7.73,-2.08,-5.64
1738244948.8880787,55640,0,0,,0.0,-0.78,0.4,0.37,0.31,-0.28,-2.52,0.97,-5.59,-2.48,-4.31,0.0,0.0,0.0,-8.05,-1.9,-5.26
1738244948.905563,55641,0,0,,0.0,-0.77,0.4,0.38,0.31,-0.33,-2.82,1.11,-5.8,-2.54,-4.49,0.0,0.0,0.0,-8.21,-1.79,-5.04
1738244948.921276,55642,0,0,,0.0,-0.76,0.4,0.41,0.32,-0.26,-3.04,1.21,-6.27,-2.61,-5.22,0.0,0.0,0.0,-8.53,-1.57,-4.57
1738244948.9380462,55643,0,0,,0.0,-0.74,0.4,0.43,0.32,-0.23,-3.1,1.24,-6.92,-2.24,-5.5,0.0,0.0,0.0,-8.82,-1.34,-4.05
1738244948.9555054,55644,0,0,,0.0,-0.73,0.39,0.45,0.33,-0.38,-3.21,1.27,-7.03,-2.07,-5.69,0.0,0.0,0.0,-8.96,-1.22,-3.78
1738244948.971603,55645,0,0,,0.0,-0.72,0.39,0.48,0.33,-0.71,-3.29,1.27,-7.11,-1.86,-5.94,0.0,0.0,0.0,-9.21,-0.95,-3.21
1738244948.9879959,55646,0,0,,0.0,-0.7,0.38,0.51,0.33,-0.87,-3.32,1.27,-7.38,-1.85,-5.98,0.0,0.0,0.0,-9.42,-0.67,-2.62
1738244949.005602,55647,0,0,,0.0,-0.68,0.38,0.54,0.33,-1.08,-3.37,1.25,-7.64,-2.05,-5.95,0.0,0.0,0.0,-9.51,-0.53,-2.32
1738244949.0216033,55648,0,0,,0.0,-0.67,0.37,0.55,0.33,-1.0,-3.44,1.26,-8.67,-2.39,-6.34,0.0,0.0,0.0,-9.65,-0.26,-1.7
1738244949.0379522,55649,0,0,,0.0,-0.65,0.36,0.58,0.33,-0.9,-3.45,1.25,-9.71,-2.67,-6.05,0.0,0.0,0.0,-9.74,0.0,-1.05
1738244949.0552163,55650,0,0,,0.0,-0.63,0.36,0.61,0.33,-0.62,-3.45,1.23,-10.74,-2.42,-5.92,0.0,0.0,0.0,-9.77,0.11,-0.72
1738244949.0716727,55651,0,0,,0.0,-0.61,0.35,0.62,0.33,-0.36,-3.38,1.23,-11.18,-2.25,-6.33,0.0,0.0,0.0,-9.8,0.35,-0.07
1738244949.0886545,55652,0,0,,0.0,-0.59,0.35,0.65,0.33,-0.27,-3.29,1.22,-11.39,-1.71,-6.36,0.0,0.0,0.0,-9.77,0.58,0.53
1738244949.1060774,55653,0,0,,0.0,-0.57,0.34,0.67,0.33,-0.3,-3.03,1.17,-11.28,-1.57,-6.03,0.0,0.0,0.0,-9.74,0.68,0.82
1738244949.1222384,55654,0,0,,0.0,-0.56,0.34,0.68,0.33,-0.45,-2.66,1.06,-10.86,-1.37,-6.03,0.0,0.0,0.0,-9.67,0.88,1.34
1738244949.138802,55655,0,0,,0.0,-0.54,0.34,0.69,0.33,-0.52,-2.45,0.99,-10.64,-1.15,-5.76,0.0,0.0,0.0,-9.58,1.04,1.79
1738244949.1562455,55656,0,0,,0.0,-0.53,0.33,0.71,0.33,-0.65,-1.99,0.82,-10.63,-1.24,-5.08,0.0,0.0,0.0,-9.53,1.1,1.98
1738244949.17325,55657,0,0,,0.0,-0.53,0.33,0.71,0.33,-0.71,-1.54,0.64,-10.36,-1.26,-4.52,0.0,0.0,0.0,-9.45,1.2,2.3
1738244949.1889453,55658,0,0,,0.0,-0.52,0.32,0.72,0.32,-0.7,-1.34,0.55,-9.73,-1.69,-3.87,0.0,0.0,0.0,-9.38,1.26,2.54
1738244949.2062697,55659,0,0,,0.0,-0.51,0.31,0.73,0.32,-0.59,-0.97,0.39,-9.81,-1.53,-3.57,0.0,0.0,0.0,-9.35,1.28,2.64
1738244949.2228243,55660,0,0,,0.0,-0.51,0.31,0.73,0.32,-0.55,-0.64,0.25,-9.33,-1.15,-4.32,0.0,0.0,0.0,-9.31,1.3,2.78
1738244949.2391615,55661,0,0,,0.0,-0.51,0.31,0.74,0.32,-0.55,-0.46,0.18,-9.23,-0.86,-4.57,0.0,0.0,0.0,-9.28,1.3,2.86
1738244949.2565758,55662,0,0,,0.0,-0.51,0.3,0.74,0.31,-0.51,-0.05,0.07,-9.43,-0.59,-4.03,0.0,0.0,0.0,-9.28,1.29,2.87
1738244949.2735345,55663,0,0,,0.0,-0.51,0.3,0.74,0.31,-0.54,0.29,0.0,-10.33,0.16,-0.71,0.0,0.0,0.0,-9.29,1.27,2.85
1738244949.2891726,55664,0,0,,0.0,-0.52,0.3,0.74,0.31,-0.5,0.4,-0.0,-16.6,5.98,11.76,0.0,0.0,0.0,-9.31,1.25,2.78
1738244949.3059337,55665,0,0,,0.0,-0.51,0.31,0.74,0.31,0.32,0.23,0.18,-13.5,6.34,6.29,0.0,0.0,0.0,-9.32,1.28,2.75
1738244949.3230555,55666,0,0,,0.0,-0.51,0.3,0.74,0.31,-0.52,-0.2,0.33,-8.88,-1.79,-1.96,0.0,0.0,0.0,-9.3,1.33,2.8
1738244949.3387935,55667,0,0,,0.0,-0.52,0.3,0.74,0.3,-0.45,0.05,0.19,-11.07,-1.54,2.53,0.0,0.0,0.0,-9.3,1.34,2.77
1738244949.356044,55668,0,0,,0.0,-0.52,0.31,0.74,0.3,0.1,0.47,0.03,-10.94,-0.16,3.03,0.0,0.0,0.0,-9.32,1.34,2.73
1738244949.3731759,55669,0,0,,0.0,-0.52,0.31,0.74,0.3,-0.0,0.49,0.15,-9.06,0.34,1.19,0.0,0.0,0.0,-9.34,1.37,2.63
1738244949.3889802,55670,0,0,,0.0,-0.52,0.31,0.74,0.3,-0.09,0.5,0.12,-9.34,1.1,1.14,0.0,0.0,0.0,-9.36,1.39,2.55
1738244949.40604,55671,0,0,,0.0,-0.53,0.31,0.73,0.29,-0.06,0.52,0.11,-9.55,1.52,0.95,0.0,0.0,0.0,-9.37,1.39,2.5
1738244949.4229898,55672,0,0,,0.0,-0.53,0.31,0.73,0.29,0.06,0.56,0.13,-9.48,1.68,1.01,0.0,0.0,0.0,-9.4,1.42,2.4
1738244949.4389722,55673,0,0,,0.0,-0.53,0.32,0.73,0.29,0.21,0.5,0.16,-9.32,1.03,0.03,0.0,0.0,0.0,-9.41,1.46,2.3
1738244949.4565334,55674,0,0,,0.0,-0.53,0.32,0.73,0.29,0.53,0.43,0.18,-9.76,0.64,0.15,0.0,0.0,0.0,-9.42,1.49,2.26
1738244949.473463,55675,0,0,,0.0,-0.53,0.33,0.72,0.29,0.77,0.46,0.16,-10.25,1.24,1.39,0.0,0.0,0.0,-9.43,1.55,2.15
1738244949.48881,55676,0,0,,0.0,-0.53,0.33,0.72,0.29,0.75,0.45,0.16,-9.68,1.13,0.95,0.0,0.0,0.0,-9.45,1.61,2.05
1738244949.506717,55677,0,0,,0.0,-0.53,0.34,0.72,0.29,0.48,0.43,0.15,-9.37,1.11,-0.16,0.0,0.0,0.0,-9.45,1.63,2.0
1738244949.5238879,55678,0,0,,0.0,-0.54,0.34,0.71,0.29,0.18,0.54,0.12,-9.73,1.3,0.44,0.0,0.0,0.0,-9.47,1.67,1.9
