Time,data
1738244464.0504503,0
1738244464.0593588,0
1738244464.0713773,0
1738244464.080811,0
1738244464.0901194,0
1738244464.1028624,0
1738244464.1127193,0
1738244464.1223955,0
1738244464.132266,0
1738244464.1446364,0
1738244464.1535928,0
1738244464.1657636,0
1738244464.1740112,0
1738244464.1869183,0
1738244464.1971729,0
1738244464.2068074,0
1738244464.2207317,0
1738244464.2277308,0
1738244464.2381182,0
1738244464.2518604,0
1738244464.2603562,0
1738244464.269706,0
1738244464.2796578,0
1738244464.2924733,0
1738244464.3018696,0
1738244464.3129897,0
1738244464.3244936,0
1738244464.3338878,0
1738244464.3463829,0
1738244464.353869,0
1738244464.3663352,0
1738244464.37585,0
1738244464.3864968,0
1738244464.396401,3
1738244464.411541,3
1738244464.4205709,3
1738244464.4286492,3
1738244464.4395275,3
1738244464.4513268,3
1738244464.45924,3
1738244464.4735146,3
1738244464.4816055,3
1738244464.492558,3
1738244464.5055885,3
1738244464.513544,3
1738244464.5243795,3
1738244464.5352929,3
1738244464.547411,3
1738244464.5565078,3
1738244464.5669818,3
1738244464.5765827,3
1738244464.5890493,3
1738244464.5987298,3
1738244464.6085825,3
1738244464.6191494,3
1738244464.6303947,3
1738244464.638748,3
1738244464.6518283,3
1738244464.659875,3
1738244464.6715765,3
1738244464.6815662,3
1738244464.6934004,3
1738244464.7024338,3
1738244464.7119381,3
1738244464.72454,3
1738244464.7338994,3
1738244464.7439876,3
1738244464.7572312,3
1738244464.7647276,3
1738244464.7743578,3
1738244464.7844079,3
1738244464.7958624,3
1738244464.8068054,3
1738244464.8159053,3
1738244464.825117,4
1738244464.8361914,4
1738244464.8480377,4
1738244464.8578513,4
1738244464.8688931,4
1738244464.879687,4
1738244464.8873286,4
1738244464.898895,4
1738244464.9100685,4
1738244464.918735,4
1738244464.9300814,4
1738244464.9398158,4
1738244464.9500875,4
1738244464.9610598,4
1738244464.9724689,4
1738244464.9817348,4
1738244464.990646,4
1738244465.0027196,4
1738244465.010237,4
1738244465.0204792,4
1738244465.0328104,4
1738244465.0432405,4
1738244465.0530057,4
1738244465.0617993,4
1738244465.0736737,4
1738244465.0811977,4
1738244465.0914245,4
1738244465.104151,4
1738244465.1122775,4
1738244465.1241903,4
