Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1738244463.8036995,4,1738244463,791253105,,2,/record_1738244463690062918,Subscribing to /foot/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.8037264,5,1738244463,792932971,,2,/record_1738244463690062918,Subscribing to /shank/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.8037395,6,1738244463,794584187,,2,/record_1738244463690062918,Subscribing to /insole_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.80375,7,1738244463,796240854,,2,/record_1738244463690062918,Subscribing to /vGRF,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.8037546,8,1738244463,798079217,,2,/record_1738244463690062918,Subscribing to /insole_data_filtered,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.8037598,9,1738244463,800003993,,2,/record_1738244463690062918,Subscribing to /CoP,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244463.8040116,10,1738244463,801563065,,2,/record_1738244463690062918,Subscribing to /ankle_joint/angle,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738244464.0436428,5,1738243977,206836700,,2,/insole_acquisition_2748_1738243977047,Starting Insole Acquisition,insole_acquisition.py,ArduinoNode.run,53,"['/rosout', '/insole_data']"
1738244464.0437815,102,1738243956,872702121,,2,/imus_data_acq_2669_1738243904469,IMUs on port /dev/ttyUSB0 calibrated!,imus_data_acquisition.py,IMUBNOArduinoNode.calibrate_imu,38,"['/rosout', '/shank/imu_data', '/foot/imu_data']"
1738244464.0444512,277,1738244269,324813365,,2,/ankle_angle_estimator_3104_1738244264147,Publishing Ankle Angle,ankle_angle_estimator.py,AnkleAngleEstimator.initialize,90,"['/foot/imu_data', '/shank/imu_data', '/ankle_joint/angle', '/rosout']"
