Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_stamp,quat_x,quat_y,quat_z,quat_w,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,gravity_x,gravity_y,gravity_z
1738246876.6780005,4810,0,0,,0.0,-0.28,0.25,0.81,0.46,-0.19,2.38,-0.51,-7.08,1.46,7.16,0.0,0.0,0.0,-6.67,1.45,7.03
1738246876.6951828,4811,0,0,,0.0,-0.3,0.26,0.8,0.46,-0.22,2.52,-0.57,-5.58,1.19,7.09,0.0,0.0,0.0,-6.84,1.4,6.87
1738246876.7094424,4812,0,0,,0.0,-0.31,0.26,0.79,0.45,-0.21,2.69,-0.6,-6.53,1.47,7.11,0.0,0.0,0.0,-7.2,1.29,6.52
1738246876.7270577,4813,0,0,,0.0,-0.34,0.27,0.78,0.45,-0.19,2.82,-0.64,-6.6,1.32,6.64,0.0,0.0,0.0,-7.58,1.17,6.1
1738246876.7452598,4814,0,0,,0.0,-0.37,0.28,0.77,0.45,-0.14,3.19,-0.73,-7.33,1.5,6.67,0.0,0.0,0.0,-7.77,1.11,5.87
1738246876.7597795,4815,0,0,,0.0,-0.38,0.29,0.76,0.45,-0.19,3.85,-0.89,-8.5,0.99,7.99,0.0,0.0,0.0,-8.18,0.96,5.31
1738246876.7774575,4816,0,0,,0.0,-0.42,0.31,0.73,0.44,-0.09,4.36,-0.97,-9.58,1.91,8.4,0.0,0.0,0.0,-8.64,0.8,4.56
1738246876.79493,4817,0,0,,0.0,-0.46,0.32,0.71,0.43,0.04,5.15,-1.06,-10.29,1.7,8.48,0.0,0.0,0.0,-8.86,0.71,4.12
1738246876.8093681,4818,0,0,,0.0,-0.48,0.33,0.69,0.43,-0.06,5.69,-1.68,-11.08,2.53,9.43,0.0,0.0,0.0,-9.27,0.44,3.15
1738246876.827709,4819,0,0,,0.0,-0.53,0.35,0.65,0.42,-0.03,5.97,-1.89,-11.9,4.45,12.42,0.0,0.0,0.0,-9.59,0.09,2.03
1738246876.8451123,4820,0,0,,0.0,-0.57,0.36,0.61,0.41,0.33,6.33,-1.89,-14.66,1.9,14.77,0.0,0.0,0.0,-9.69,-0.07,1.44
1738246876.860242,4821,0,0,,0.0,-0.58,0.37,0.6,0.41,0.38,3.88,-1.09,-19.4,12.93,13.53,0.0,0.0,0.0,-9.78,-0.32,0.55
1738246876.879054,4822,0,0,,0.0,-0.59,0.37,0.59,0.41,-0.39,1.96,-0.73,-20.2,10.02,17.29,0.0,0.0,0.0,-9.79,-0.45,0.32
1738246876.8958302,4823,0,0,,0.0,-0.6,0.36,0.59,0.4,-1.9,0.45,-0.49,-5.26,2.06,6.43,0.0,0.0,0.0,-9.78,-0.55,0.22
1738246876.9108791,4824,0,0,,0.0,-0.6,0.35,0.59,0.4,-0.81,0.09,-0.47,-7.66,0.72,8.36,0.0,0.0,0.0,-9.78,-0.6,0.21
1738246876.9289222,4825,0,0,,0.0,-0.61,0.34,0.6,0.4,-0.83,-0.34,-0.67,-6.23,-0.73,7.99,0.0,0.0,0.0,-9.77,-0.75,0.31
1738246876.945928,4826,0,0,,0.0,-0.6,0.33,0.6,0.41,-0.57,-1.29,-0.92,-4.61,-0.2,7.2,0.0,0.0,0.0,-9.74,-0.93,0.59
1738246876.960782,4827,0,0,,0.0,-0.6,0.32,0.61,0.41,-0.32,-2.08,-0.91,-3.6,0.89,5.92,0.0,0.0,0.0,-9.72,-1.02,0.78
1738246876.9794285,4828,0,0,,0.0,-0.59,0.3,0.62,0.42,-0.23,-2.33,-0.8,-3.01,1.35,4.75,0.0,0.0,0.0,-9.65,-1.15,1.23
1738246876.9960608,4829,0,0,,0.0,-0.57,0.29,0.64,0.43,-0.01,-2.7,-0.44,-3.38,1.67,5.0,0.0,0.0,0.0,-9.56,-1.22,1.76
1738246877.0112846,4830,0,0,,0.0,-0.56,0.28,0.64,0.44,0.12,-3.17,-0.2,-3.12,0.95,4.87,0.0,0.0,0.0,-9.5,-1.24,2.05
1738246877.029039,4831,0,0,,0.0,-0.54,0.27,0.66,0.45,0.22,-3.4,-0.11,-3.52,1.13,4.94,0.0,0.0,0.0,-9.34,-1.24,2.69
1738246877.046082,4832,0,0,,0.0,-0.51,0.26,0.68,0.46,0.35,-3.75,0.12,-3.54,1.36,4.93,0.0,0.0,0.0,-9.12,-1.18,3.39
1738246877.0609448,4833,0,0,,0.0,-0.5,0.25,0.69,0.46,0.44,-4.09,0.44,-5.17,0.84,6.38,0.0,0.0,0.0,-8.98,-1.13,3.75
1738246877.0801132,4834,0,0,,0.0,-0.46,0.24,0.71,0.47,0.5,-4.29,0.55,-5.86,-0.56,6.81,0.0,0.0,0.0,-8.65,-0.98,4.51
1738246877.0966554,4835,0,0,,0.0,-0.43,0.22,0.73,0.48,0.66,-4.61,0.57,-6.77,0.07,7.16,0.0,0.0,0.0,-8.21,-0.83,5.28
1738246877.111416,4836,0,0,,0.0,-0.41,0.21,0.74,0.49,0.7,-4.81,0.68,-7.49,1.33,7.02,0.0,0.0,0.0,-7.96,-0.74,5.66
1738246877.1298308,4837,0,0,,0.0,-0.37,0.2,0.77,0.49,0.73,-4.81,0.91,-9.07,1.26,7.02,0.0,0.0,0.0,-7.42,-0.5,6.38
