Time,Phase_Labels
1738246876.6787183,0
1738246876.695833,0
1738246876.709787,0
1738246876.7275653,0
1738246876.7456417,0
1738246876.7602315,0
1738246876.7779534,0
1738246876.795153,0
1738246876.8097477,1
1738246876.8281643,1
1738246876.8456523,1
1738246876.8604991,1
1738246876.8796377,1
1738246876.8962193,0
1738246876.9113424,0
1738246876.929982,0
1738246876.9469264,0
1738246876.961062,0
1738246876.9799168,0
1738246876.99662,0
1738246877.011776,0
1738246877.029707,0
1738246877.0470412,0
1738246877.061212,0
1738246877.0807767,0
1738246877.0971758,0
1738246877.1118796,0
1738246877.1303215,0
1738246877.1474457,0
1738246877.1624706,0
1738246877.1810863,0
1738246877.1977398,0
1738246877.212702,0
1738246877.2312818,0
1738246877.2480493,0
1738246877.262895,0
1738246877.2815096,0
1738246877.2980947,0
1738246877.312948,0
1738246877.331317,0
1738246877.3479958,0
1738246877.3627408,0
1738246877.381461,0
1738246877.3978047,0
1738246877.413378,0
1738246877.43164,0
1738246877.448322,0
1738246877.4631846,0
1738246877.4817092,0
1738246877.4981153,0
1738246877.5131342,0
1738246877.5322866,0
1738246877.5485687,0
1738246877.5631087,0
1738246877.5819142,0
1738246877.59857,0
1738246877.613632,0
1738246877.6327982,0
1738246877.6489716,0
1738246877.6642177,0
1738246877.6826756,0
1738246877.6990292,0
1738246877.7139742,0
1738246877.7324798,0
1738246877.748912,0
1738246877.7643256,0
1738246877.7826903,0
1738246877.7990518,0
1738246877.813907,0
1738246877.8327832,0
1738246877.849274,0
1738246877.8642304,0
1738246877.8831432,0
1738246877.8988593,0
1738246877.9143996,0
1738246877.9328718,0
1738246877.949951,0
1738246877.9643612,0
1738246877.9828768,0
1738246878.000079,0
1738246878.0141249,0
1738246878.032442,0
1738246878.05025,0
1738246878.0643532,0
1738246878.0825508,0
1738246878.1002753,0
1738246878.1143491,0
1738246878.1330252,0
1738246878.1501334,0
1738246878.164467,0
1738246878.1828113,0
1738246878.1996214,0
1738246878.2148528,1
1738246878.2333746,1
1738246878.250596,1
