Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_stamp,quat_x,quat_y,quat_z,quat_w,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,gravity_x,gravity_y,gravity_z
1738246876.695504,4811,0,0,,0.0,-0.77,0.27,0.56,0.14,0.35,1.8,-0.4,-9.77,-0.78,-1.04,0.0,0.0,0.0,-9.19,0.77,-3.31
1738246876.7097387,4812,0,0,,0.0,-0.78,0.27,0.55,0.14,0.45,1.84,-0.39,-9.17,-0.56,-1.38,0.0,0.0,0.0,-9.14,0.72,-3.47
1738246876.726987,4813,0,0,,0.0,-0.79,0.27,0.53,0.14,0.7,2.01,-0.32,-9.54,-0.42,-1.81,0.0,0.0,0.0,-9.0,0.61,-3.83
1738246876.7450309,4814,0,0,,0.0,-0.8,0.28,0.51,0.15,0.79,2.26,-0.26,-10.58,-0.15,-0.94,0.0,0.0,0.0,-8.83,0.5,-4.21
1738246876.7596498,4815,0,0,,0.0,-0.8,0.28,0.5,0.15,0.83,2.36,-0.19,-10.84,0.33,-1.25,0.0,0.0,0.0,-8.73,0.45,-4.42
1738246876.777465,4816,0,0,,0.0,-0.82,0.29,0.48,0.15,0.81,2.65,0.05,-12.97,2.28,-2.33,0.0,0.0,0.0,-8.5,0.37,-4.85
1738246876.7951126,4817,0,0,,0.0,-0.83,0.3,0.46,0.14,0.62,2.83,0.26,-15.54,2.91,-0.25,0.0,0.0,0.0,-8.23,0.34,-5.32
1738246876.8096268,4818,0,0,,0.0,-0.83,0.3,0.45,0.14,0.51,2.76,0.38,-14.13,1.94,-1.58,0.0,0.0,0.0,-8.08,0.34,-5.53
1738246876.8278766,4819,0,0,,0.0,-0.84,0.31,0.42,0.13,0.23,2.82,0.39,-12.85,1.12,-4.92,0.0,0.0,0.0,-7.77,0.37,-5.96
1738246876.8453593,4820,0,0,,0.0,-0.85,0.31,0.4,0.12,-0.21,2.86,0.32,-12.32,2.46,-5.25,0.0,0.0,0.0,-7.42,0.43,-6.38
