Time,data
1738248569.2058382,-1.3957070385097945
1738248569.223084,-5.280605787730729
1738248569.241758,-9.782086045271404
1738248569.2568772,-13.896936116752409
1738248569.2723196,-16.91825952028087
1738248569.2916572,-17.707943819804754
1738248569.3059728,-17.498224234419567
1738248569.3226106,-16.41634305038048
1738248569.3417096,-15.238844560553988
1738248569.3562973,-13.79800336047714
1738248569.3724601,-11.905932771501734
1738248569.3920336,-10.240342655405767
1738248569.4065866,-9.011146934505044
1738248569.4226656,-8.100218638172528
1738248569.4415424,-6.983615175485791
1738248569.456716,-5.87100051897378
1738248569.4731152,-4.650271080781146
1738248569.4918146,-4.257655460369087
1738248569.5067399,-3.414416691012358
1738248569.5226414,-3.691992297049759
1738248569.5425582,-3.891375758502743
1738248569.5571294,-4.730582898355151
1738248569.5737216,-5.168739269106237
1738248569.5919652,-5.27048275333235
1738248569.6065195,-5.532143233503742
1738248569.6231842,-5.753727698111781
1738248569.6423845,-6.534665489991648
1738248569.6570895,-6.943138992751813
1738248569.6732414,-7.505632188472543
1738248569.6919444,-8.00009839283637
1738248569.7067566,-8.04440722535275
1738248569.7231388,-8.065258640797628
1738248569.7425237,-7.957887706057072
1738248569.7572563,-8.30121174299726
1738248569.77403,-9.964501463263076
1738248569.792137,-11.246419204865461
1738248569.8069556,-12.675653172900711
1738248569.8231003,-12.381585042676196
1738248569.8418632,-12.002006691266251
1738248569.856532,-11.643324253690453
1738248569.873689,-11.65567574962382
1738248569.892916,-11.484404450549896
1738248569.9068954,-11.527840293662635
1738248569.9230833,-11.123876252532474
1738248569.942426,-11.074757091749975
1738248569.9569817,-10.47393902898426
1738248569.973186,-9.872912640657757
1738248569.9923549,-9.188498409291801
1738248570.0067463,-8.482057572811033
1738248570.0233562,-7.760198706080086
1738248570.042609,-7.12099517317678
1738248570.0568109,-6.814208192351515
1738248570.073191,-6.644058778074682
1738248570.0930502,-6.106537342577275
1738248570.1071239,-5.480318300481895
1738248570.123636,-4.946096615468676
1738248570.1422734,-4.354447325669422
1738248570.157212,-3.7532015552551274
1738248570.1735802,-3.06444053509702
1738248570.1923022,-2.400075182038444
1738248570.2066698,-1.494287380419213
1738248570.2234347,-0.6510750628875165
1738248570.2426846,0.2257356586946641
1738248570.2568643,0.8515274511011505
1738248570.2741866,1.7366691407292385
1738248570.2933168,2.4090210521130526
1738248570.307289,3.205894978686486
1738248570.3242726,4.223486736739931
1738248570.3428395,5.115762043053915
1738248570.3575613,5.8835153341782815
1738248570.3741884,6.440380404395293
1738248570.3931334,7.137813414401582
1738248570.4073973,7.6903730418058975
1738248570.425204,8.025983191374225
1738248570.443219,7.836333441993241
1738248570.4580455,7.818193841849614
1738248570.4747589,7.4140995829710095
1738248570.4940653,7.235381991118234
1738248570.5080733,6.752146760011831
1738248570.525533,5.69781680793936
1738248570.5433502,3.17176577878403
1738248570.558945,-0.06471318752651099
1738248570.5758433,-4.267755930974945
1738248570.5940292,-9.181353590682406
1738248570.6085267,-13.799608599895755
1738248570.6259549,-16.728544601089197
1738248570.6438453,-17.119867582376177
1738248570.6586764,-16.606331730938543
1738248570.676112,-15.423282419162984
1738248570.694053,-14.227342696199043
1738248570.7084827,-12.690837135647607
1738248570.7263665,-11.111391048700757
