Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.288202285766602
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297570705413818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.307251691818237
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31685733795166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.326393604278564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.336167097091675
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345704555511475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354970932006836
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.36474347114563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3743896484375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.383909940719604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39355731010437
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403156280517578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.412729501724243
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.422088623046875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431959867477417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.441460371017456
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45120644569397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460714817047119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470123767852783
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479611873626709
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.489031076431274
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.498713731765747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508226633071899
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.517905235290527
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.527498722076416
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537197589874268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546757221221924
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556353092193604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.566014528274536
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575613975524902
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58513331413269
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.594558000564575
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603999853134155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613470315933228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.623118877410889
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.632677793502808
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642197370529175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652029752731323
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.661633253097534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.671149015426636
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680797815322876
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.690450668334961
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.699933052062988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.709388732910156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719091653823853
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72850513458252
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738058567047119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.747558116912842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757261276245117
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.766761302947998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.776673316955566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.786228895187378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.795756340026855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805455684661865
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.814981698989868
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.824680805206299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.834097623825073
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843651533126831
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.853344678878784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.862916946411133
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.872507810592651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.882068157196045
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891679763793945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901257276535034
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.910814762115479
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920361280441284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.929834842681885
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.939545154571533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94908881187439
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958795309066772
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.968262195587158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.977990627288818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987563133239746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.997052192687988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00655031204224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0160505771637
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02560424804688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.03535342216492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04500865936279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05472636222839
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06442260742188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07387256622314
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08335900306702
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09303450584412
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10257840156555
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1122739315033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12199592590332
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.13134431838989
