Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.01,0.77,-0.05,0.64,-0,-0,0.01,-9.55,-0.61,-1.8,0,0,0,-9.62,-0.66,-1.74,0.208215475082397
,0,0.01,0.77,-0.05,0.64,-0.01,-0,0.01,-9.6,-0.62,-1.79,0,0,0,-9.62,-0.66,-1.74,0.225119113922119
,0,0.01,0.77,-0.05,0.64,-0.02,-0.01,0.01,-9.6,-0.61,-1.77,0,0,0,-9.62,-0.66,-1.74,0.243421316146851
,0,0.01,0.77,-0.05,0.64,-0.03,-0.01,0,-9.59,-0.59,-1.76,0,0,0,-9.62,-0.66,-1.74,0.261023998260498
,0,0.01,0.77,-0.05,0.64,-0.03,-0.01,0,-9.57,-0.6,-1.73,0,0,0,-9.62,-0.66,-1.74,0.279213428497314
,0,0.01,0.77,-0.05,0.64,-0.03,-0,-0,-9.6,-0.56,-1.66,0,0,0,-9.62,-0.66,-1.74,0.294930219650269
,0,0.01,0.77,-0.05,0.64,-0.05,0,-0.01,-9.57,-0.58,-1.7,0,0,0,-9.62,-0.66,-1.74,0.313491821289062
,0,0.01,0.77,-0.05,0.64,-0.05,0.01,-0.01,-9.57,-0.57,-1.68,0,0,0,-9.62,-0.66,-1.74,0.330424308776855
,0,0.01,0.77,-0.05,0.64,-0.04,0.02,-0.01,-9.57,-0.56,-1.65,0,0,0,-9.62,-0.66,-1.75,0.348116397857666
,0,0.01,0.77,-0.05,0.64,-0.04,0.03,-0.02,-9.59,-0.59,-1.73,0,0,0,-9.62,-0.66,-1.75,0.366000413894653
,0,0.01,0.77,-0.05,0.64,-0.03,0.03,-0.03,-9.57,-0.63,-1.75,0,0,0,-9.62,-0.66,-1.76,0.382003784179688
,0,0,0.77,-0.05,0.64,-0.03,0.03,-0.03,-9.58,-0.68,-1.81,0,0,0,-9.62,-0.67,-1.76,0.399730443954468
,0,0,0.77,-0.05,0.64,-0.03,0.03,-0.03,-9.59,-0.68,-1.85,0,0,0,-9.62,-0.67,-1.77,0.417116403579712
,0,0,0.77,-0.05,0.64,-0.02,0.03,-0.02,-9.57,-0.68,-1.84,0,0,0,-9.62,-0.67,-1.77,0.432698011398315
,0,0,0.77,-0.05,0.64,-0.01,0.02,-0.02,-9.58,-0.65,-1.84,0,0,0,-9.61,-0.68,-1.78,0.451227188110352
,0,0,0.77,-0.05,0.64,-0.01,0.01,-0.02,-9.59,-0.71,-1.85,0,0,0,-9.61,-0.68,-1.78,0.469101428985596
,0,0,0.77,-0.05,0.64,-0.02,0.01,-0.01,-9.58,-0.69,-1.87,0,0,0,-9.61,-0.68,-1.78,0.484782934188843
,0,0,0.77,-0.05,0.64,0,-0,-0.01,-9.57,-0.66,-1.84,0,0,0,-9.61,-0.68,-1.78,0.503656387329102
,0,0,0.77,-0.05,0.64,0.01,-0,-0.01,-9.56,-0.66,-1.8,0,0,0,-9.61,-0.68,-1.78,0.521781921386719
,0,0,0.77,-0.05,0.64,0.01,0,-0.01,-9.57,-0.63,-1.72,0,0,0,-9.61,-0.68,-1.78,0.537781715393066
,0,0,0.77,-0.05,0.64,0.01,0,-0.01,-9.56,-0.65,-1.75,0,0,0,-9.61,-0.68,-1.78,0.556364297866821
,0,0,0.77,-0.05,0.64,0.01,0.01,-0.01,-9.58,-0.64,-1.76,0,0,0,-9.61,-0.68,-1.78,0.575399398803711
,0,0,0.77,-0.05,0.64,0,0,-0.01,-9.59,-0.64,-1.77,0,0,0,-9.61,-0.68,-1.78,0.593040227890015
,0,0,0.77,-0.05,0.64,0.01,0.01,-0.01,-9.55,-0.68,-1.83,0,0,0,-9.61,-0.68,-1.78,0.611609697341919
,0,0,0.77,-0.05,0.64,0.01,0.01,-0.01,-9.57,-0.69,-1.83,0,0,0,-9.61,-0.68,-1.78,0.629400491714478
,0,0,0.77,-0.05,0.64,0.01,-0,-0,-9.58,-0.7,-1.82,0,0,0,-9.61,-0.68,-1.78,0.64696741104126
,0,0,0.77,-0.05,0.64,0.01,0,0,-9.58,-0.68,-1.83,0,0,0,-9.61,-0.68,-1.78,0.665135622024536
,0,0,0.77,-0.05,0.64,0.02,-0,0,-9.59,-0.69,-1.79,0,0,0,-9.61,-0.68,-1.78,0.682234764099121
,0,0,0.77,-0.05,0.64,0.02,-0,0,-9.54,-0.65,-1.76,0,0,0,-9.61,-0.68,-1.78,0.700380802154541
,0,0,0.77,-0.05,0.64,0.02,-0,0.01,-9.58,-0.64,-1.8,0,0,0,-9.61,-0.68,-1.78,0.717737197875977
