Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214590072631836
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224216461181641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233868837356567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.243632078170776
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253089666366577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26262354850769
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272051572799683
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281752824783325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291319370269775
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.300990104675293
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.310587406158447
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319934129714966
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329509973526001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338823795318604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348648309707642
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.358392715454102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368143558502197
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377675771713257
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.387265205383301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396814107894897
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406436920166016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.415878295898438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425488948822021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435153722763062
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.444636583328247
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454272031784058
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463745355606079
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473531484603882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483252048492432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.492731809616089
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502306938171387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511842727661133
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521084785461426
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530647039413452
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540396213531494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549808502197266
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559425592422485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569109678268433
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578779458999634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588035345077515
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.597682476043701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.607214450836182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.616746664047241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.627710819244385
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635968446731567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64560341835022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655300378799438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664794445037842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674813270568848
