Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0,-0.2,-0.29,0.94,0.42,-0.14,-0.26,-18.65,3.52,3.61,0,0,0,3.65,1.14,9.02,0.770507574081421
,0,-0,-0.19,-0.29,0.94,-0.65,1.04,0.18,-10.59,5.88,5.8,0,0,0,3.51,1.07,9.09,0.785029172897339
,0,-0.02,-0.18,-0.29,0.94,-1.8,0.38,0.95,11.97,-0.19,-8.28,0,0,0,3.5,0.71,9.13,0.801325798034668
,0,-0.02,-0.16,-0.29,0.94,-1.4,1.12,0.32,4.58,-7.98,-10.4,0,0,0,3.4,0.57,9.17,0.820866823196411
,0,-0.02,-0.14,-0.29,0.95,-0.12,4.49,0.23,-2.66,-9.56,24.09,0,0,0,2.71,0.45,9.41,0.835423707962036
,0,-0.01,-0.11,-0.3,0.95,0.38,3.97,-0.33,1.61,0.93,13.96,0,0,0,2.1,0.54,9.56,0.851446628570557
,0,0.01,-0.09,-0.3,0.95,0.45,2.18,-1.21,3.11,5.25,12.44,0,0,0,1.89,0.6,9.6,0.870381116867065
,0,0.01,-0.08,-0.3,0.95,0.46,2.23,-0.11,-0.37,-0.28,15.72,0,0,0,1.48,0.71,9.66,0.885078191757202
,0,0.02,-0.07,-0.3,0.95,0.31,1.81,-0.05,-4.64,2.11,16.09,0,0,0,1.17,0.75,9.7,0.90133261680603
,0,0.02,-0.06,-0.3,0.95,-0.58,0.19,0.19,3.88,1.3,10.09,0,0,0,1.15,0.69,9.71,0.920568943023682
,0,0.02,-0.06,-0.3,0.95,-0.19,1.25,0.1,-2.53,2.79,14,0,0,0,0.98,0.64,9.73,0.934899806976318
,0,0.01,-0.05,-0.3,0.95,-0.37,0.51,0.05,0.43,0.52,10.66,0,0,0,0.94,0.57,9.74,0.951576709747314
,0,0.01,-0.05,-0.3,0.95,-0.27,0.28,0.05,-1.38,0.96,12,0,0,0,0.91,0.54,9.74,0.970634937286377
,0,0.01,-0.05,-0.3,0.95,-0.25,-0.13,-0.06,1.22,0.01,10.15,0,0,0,0.9,0.49,9.75,0.985544204711914
,0,0.01,-0.05,-0.3,0.95,-0.17,-0.05,-0.12,-0.3,0.29,10.64,0,0,0,0.9,0.47,9.75,1.00142049789429
,0,0.01,-0.05,-0.3,0.95,-0.14,-0.08,-0.15,0.93,0.07,10.5,0,0,0,0.91,0.45,9.75,1.02091455459595
,0,0.01,-0.05,-0.3,0.95,-0.07,0.02,-0.03,0.66,0.9,9.83,0,0,0,0.93,0.44,9.75,1.03552293777466
,0,0.01,-0.05,-0.3,0.95,-0.08,0.07,-0.01,1.44,0.53,10,0,0,0,0.91,0.42,9.75,1.05207419395447
,0,0.01,-0.05,-0.3,0.95,-0.1,0.07,-0.04,1.89,0.35,9.13,0,0,0,0.91,0.41,9.75,1.07116627693176
,0,0.01,-0.05,-0.3,0.95,-0.05,0.13,-0.02,1.67,0.26,9.58,0,0,0,0.88,0.4,9.75,1.08562207221985
,0,0.01,-0.05,-0.3,0.95,-0.07,0.13,-0.03,1.09,0.47,9.77,0,0,0,0.86,0.39,9.76,1.10143852233887
,0,0.01,-0.05,-0.3,0.95,-0.04,0.12,-0,0.99,0.38,9.62,0,0,0,0.85,0.38,9.76,1.12061405181885
,0,0.01,-0.05,-0.3,0.95,-0.06,0.11,-0,1.11,0.53,9.47,0,0,0,0.83,0.37,9.76,1.13523292541504
,0,0.01,-0.04,-0.3,0.95,-0.05,0.16,0,0.66,0.25,9.9,0,0,0,0.8,0.36,9.76,1.15156054496765
,0,0.01,-0.04,-0.3,0.95,-0.04,0.17,-0,0.57,0.2,9.79,0,0,0,0.79,0.36,9.76,1.17103576660156
,0,0.01,-0.04,-0.3,0.95,-0.01,0.14,-0,0.08,0.42,9.87,0,0,0,0.76,0.36,9.77,1.18563580513
,0,0.01,-0.04,-0.3,0.95,0,0.11,-0,0.66,0.42,9.75,0,0,0,0.74,0.36,9.77,1.20177459716797
,0,0.01,-0.04,-0.3,0.95,0.02,0.04,0.02,0.97,0.37,9.71,0,0,0,0.74,0.36,9.77,1.2210750579834
,0,0.01,-0.04,-0.3,0.95,-0.01,0.06,-0.02,0.82,0.44,9.52,0,0,0,0.73,0.36,9.77,1.23562288284302
,0,0.01,-0.04,-0.3,0.95,0,0.05,-0.01,1.26,0.64,9.87,0,0,0,0.72,0.36,9.77,1.25177431106567
,0,0.01,-0.04,-0.3,0.95,0.03,0.05,-0.01,1.44,0.43,9.86,0,0,0,0.71,0.36,9.77,1.27114367485046
,0,0.01,-0.04,-0.3,0.95,0.09,0.09,-0.01,1.21,0.26,9.89,0,0,0,0.7,0.37,9.77,1.28569316864014
,0,0.01,-0.04,-0.3,0.95,0.02,0.07,-0.02,0.9,0.35,9.64,0,0,0,0.69,0.38,9.77,1.30200862884521
,0,0.01,-0.04,-0.3,0.95,0.07,0.07,-0.02,0.33,0.63,9.64,0,0,0,0.68,0.39,9.77,1.32136511802673
,0,0.01,-0.04,-0.3,0.95,0.14,0.1,0.02,0.26,0.33,9.78,0,0,0,0.66,0.41,9.77,1.33624529838562
,0,0.01,-0.04,-0.3,0.95,0.19,0.09,0.04,0.5,0.21,9.57,0,0,0,0.65,0.45,9.77,1.35240793228149
,0,0.01,-0.04,-0.3,0.95,0.12,0.11,0.03,0.15,0.21,9.86,0,0,0,0.64,0.46,9.77,1.37124586105347
,0,0.01,-0.04,-0.3,0.95,0.19,0.13,0.05,0.66,0.83,9.59,0,0,0,0.61,0.49,9.77,1.38584804534912
,0,0.02,-0.04,-0.3,0.95,0.2,0.18,0.08,1.05,0.3,9.78,0,0,0,0.58,0.52,9.77,1.40232825279236
,0,0.02,-0.04,-0.3,0.95,0.15,0.31,0.07,0.8,0.18,9.66,0,0,0,0.55,0.54,9.77,1.421311378479
,0,0.02,-0.03,-0.3,0.95,-0.03,0.39,0.08,0.72,0.62,10.37,0,0,0,0.48,0.54,9.77,1.43574094772339
,0,0.02,-0.03,-0.3,0.95,-0.04,0.39,0.13,0.22,0.42,10.16,0,0,0,0.4,0.54,9.78,1.45211505889893
,0,0.02,-0.03,-0.3,0.95,0.13,0.48,0.2,-0.42,0.83,8.35,0,0,0,0.36,0.55,9.78,1.47142577171326
,0,0.02,-0.02,-0.3,0.95,0.16,0.67,0.18,1.14,-0.04,11.53,0,0,0,0.25,0.57,9.78,1.48640131950378
,0,0.03,-0.01,-0.29,0.96,0.12,0.88,0.29,0.35,1.42,7.63,0,0,0,0.1,0.58,9.78,1.50308132171631
