Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.41,0.76,-0.27,0.42,1.35,1.94,-0.65,-13.09,-1.09,-1.4,0,0,0,-8.46,-0.64,-4.9,0.219286441802979
,0,0.41,0.77,-0.27,0.41,1.55,2.13,-0.69,-12.08,1.53,-4.77,0,0,0,-8.35,-0.78,-5.07,0.233966827392578
,0,0.42,0.78,-0.28,0.39,1.46,2.24,-0.77,-13.12,0.72,-3.11,0,0,0,-8.11,-1.04,-5.4,0.249436140060425
,0,0.42,0.78,-0.28,0.36,1.26,2.14,-0.82,-11.29,1.43,-4.46,0,0,0,-7.87,-1.3,-5.7,0.26988697052002
,0,0.42,0.79,-0.28,0.35,0.95,2.01,-0.96,-10.59,-0.17,-6.96,0,0,0,-7.74,-1.43,-5.84,0.283920526504517
,0,0.42,0.8,-0.28,0.33,0.6,1.94,-0.97,-9.84,0.16,-6.46,0,0,0,-7.5,-1.62,-6.1,0.299857378005981
,0,0.42,0.8,-0.28,0.32,0.08,1.74,-0.85,-9.27,-0.19,-5.99,0,0,0,-7.27,-1.73,-6.34,0.319794178009033
,0,0.42,0.81,-0.27,0.31,-0.31,1.21,-0.63,-8.36,0.73,-0.52,0,0,0,-7.19,-1.76,-6.43,0.334758996963501
,0,0.42,0.81,-0.27,0.31,-0.27,0.86,-0.45,-7.62,0.72,-0.78,0,0,0,-7.09,-1.77,-6.53,0.350393056869507
,0,0.41,0.81,-0.27,0.31,-0.42,0.21,-0.19,-6.25,1.47,0.43,0,0,0,-7.07,-1.73,-6.55,0.369859457015991
,0,0.41,0.81,-0.27,0.31,-0.31,-0.45,0.08,-6.01,1.26,-0.9,0,0,0,-7.1,-1.71,-6.53,0.384368419647217
,0,0.41,0.81,-0.27,0.32,-0.25,-0.78,0.2,-6.03,0.79,-1.71,0,0,0,-7.23,-1.64,-6.41,0.400219678878784
,0,0.41,0.8,-0.27,0.33,-0.21,-1.35,0.41,-5.66,0,-1.78,0,0,0,-7.43,-1.55,-6.2,0.420301675796509
,0,0.41,0.8,-0.27,0.34,-0.35,-1.93,0.52,-5.94,-0.13,-2.2,0,0,0,-7.55,-1.49,-6.07,0.435158252716064
,0,0.41,0.79,-0.27,0.36,-0.33,-2.17,0.59,-6.46,0.24,-2.37,0,0,0,-7.83,-1.35,-5.74,0.449990749359131
,0,0.4,0.78,-0.28,0.39,-0.46,-2.64,0.76,-7.31,0.42,-2.32,0,0,0,-8.14,-1.18,-5.32,0.470282793045044
,0,0.4,0.77,-0.28,0.4,-0.51,-3,0.94,-8.06,-0.03,-3.29,0,0,0,-8.3,-1.08,-5.09,0.484668254852295
,0,0.4,0.76,-0.28,0.43,-0.54,-3.14,1.01,-8.41,-0.31,-3.67,0,0,0,-8.62,-0.86,-4.57,0.500460386276245
,0,0.4,0.74,-0.29,0.46,-0.51,-3.39,1.12,-10.09,-1.03,-4.12,0,0,0,-8.93,-0.62,-4,0.520500898361206
,0,0.39,0.73,-0.29,0.48,-0.39,-3.61,1.22,-10.84,-0.97,-4.27,0,0,0,-9.07,-0.5,-3.68,0.535218715667725
,0,0.39,0.71,-0.3,0.51,-0.34,-3.7,1.27,-11.06,-0.8,-4.11,0,0,0,-9.32,-0.25,-3.02,0.551196098327637
,0,0.39,0.68,-0.3,0.54,-0.23,-3.87,1.34,-11.22,-0.48,-4.27,0,0,0,-9.53,0,-2.3,0.569962739944458
,0,0.39,0.67,-0.31,0.55,-0.24,-4.03,1.43,-11.73,-0.22,-4.89,0,0,0,-9.61,0.13,-1.93,0.584692239761353
,0,0.38,0.64,-0.31,0.59,-0.27,-4.09,1.47,-12,-0.07,-4.83,0,0,0,-9.72,0.42,-1.16,0.60091495513916
,0,0.38,0.62,-0.32,0.62,-0.32,-4.06,1.6,-12.55,0.42,-5.27,0,0,0,-9.77,0.74,-0.39,0.620532512664795
,0,0.37,0.6,-0.32,0.63,-0.68,-3.99,1.64,-12.22,0,-5.62,0,0,0,-9.76,0.89,-0.01,0.635116338729858
,0,0.37,0.57,-0.32,0.66,-0.79,-3.89,1.64,-12.11,-0.18,-5.98,0,0,0,-9.7,1.19,0.72,0.650400161743164
,0,0.36,0.55,-0.31,0.69,-0.77,-3.63,1.59,-11.74,-0.48,-6.81,0,0,0,-9.59,1.47,1.4,0.670552730560303
,0,0.36,0.53,-0.31,0.7,-0.53,-3.2,1.5,-10.3,-0.77,-9.32,0,0,0,-9.52,1.6,1.7,0.68513298034668
,0,0.35,0.51,-0.31,0.72,-0.44,-2.89,1.42,-8.64,-1.91,-9.51,0,0,0,-9.37,1.84,2.21,0.70084023475647
,0,0.35,0.5,-0.31,0.73,-0.24,-2.08,1.14,-6.95,-1.86,-9.07,0,0,0,-9.24,2.02,2.55,0.721154451370239
,0,0.35,0.49,-0.31,0.74,0.17,-1.19,0.83,-5.63,-1.26,-9.35,0,0,0,-9.2,2.1,2.65,0.735718488693237
,0,0.36,0.48,-0.31,0.74,0.44,-0.74,0.7,-4.91,-1.11,-9.43,0,0,0,-9.15,2.23,2.72,0.751087427139282
