Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.07,0.22,-0.3,0.92,0.73,5.29,-0.5,3.1,1.34,9.97,0,0,0,-4.45,-0.02,8.73,0.248032569885254
,0,0.11,0.27,-0.31,0.9,2.43,6.08,-0.94,5.39,1.76,8.34,0,0,0,-5.46,0.23,8.13,0.263998031616211
,0,0.12,0.29,-0.32,0.89,1.83,5.25,-2.17,-9.8,3.91,28.17,0,0,0,-5.88,0.26,7.84,0.279410600662231
,0,0.13,0.31,-0.34,0.88,0.87,2.81,-1.76,5.9,6.46,14.33,0,0,0,-6.14,0.22,7.64,0.296227216720581
,0,0.13,0.3,-0.34,0.88,0.66,0.06,-0.54,3.86,4.37,11.73,0,0,0,-6.14,0.24,7.63,0.314119338989258
,0,0.13,0.3,-0.34,0.88,0.38,-0.51,-0.13,4.88,3.22,10.29,0,0,0,-6.1,0.28,7.66,0.32931661605835
,0,0.13,0.29,-0.34,0.88,0.37,-0.8,0.04,4.18,1.56,8.89,0,0,0,-5.96,0.34,7.77,0.346208095550537
,0,0.13,0.28,-0.34,0.89,0.35,-1.46,0.28,3.98,1.08,8.63,0,0,0,-5.85,0.39,7.86,0.363674879074097
,0,0.13,0.27,-0.34,0.89,0.31,-1.96,0.39,2.77,0.44,9.39,0,0,0,-5.56,0.48,8.06,0.379233598709106
,0,0.13,0.25,-0.34,0.9,0.24,-2.24,0.41,1.91,0.24,9.78,0,0,0,-5.18,0.55,8.3,0.396431922912598
,0,0.12,0.22,-0.34,0.91,0.14,-2.81,0.39,1.7,0.22,9.67,0,0,0,-4.95,0.58,8.44,0.413777112960815
,0,0.11,0.21,-0.34,0.91,0.09,-3.25,0.35,0.37,1.03,10.69,0,0,0,-4.42,0.63,8.72,0.429545164108276
,0,0.1,0.17,-0.34,0.92,0.07,-3.49,0.35,0.03,1.2,10.47,0,0,0,-3.8,0.67,9.01,0.446512937545776
,0,0.09,0.14,-0.35,0.92,0.04,-3.73,0.38,-0.57,1.33,10.97,0,0,0,-3.47,0.69,9.14,0.464337110519409
,0,0.09,0.12,-0.34,0.93,0.15,-3.86,0.44,-0.61,1.73,12.12,0,0,0,-2.78,0.73,9.37,0.479903221130371
,0,0.07,0.09,-0.34,0.93,0.16,-3.87,0.49,-0.88,2.28,13.51,0,0,0,-2.06,0.79,9.55,0.496639013290405
,0,0.06,0.05,-0.34,0.94,0.08,-3.96,0.65,-0.97,2.4,13.79,0,0,0,-1.69,0.8,9.62,0.514305353164673
,0,0.06,0.03,-0.34,0.94,-0.04,-3.96,0.82,-1.22,2.41,13.73,0,0,0,-0.93,0.82,9.72,0.531429767608643
,0,0.04,-0,-0.33,0.94,-0.16,-3.88,0.86,-2.5,2.76,15.3,0,0,0,-0.2,0.79,9.77,0.547268867492676
,0,0.03,-0.04,-0.32,0.94,-0.39,-3.68,0.88,-3.11,3.16,15.86,0,0,0,0.5,0.71,9.76,0.564659357070923
,0,0.02,-0.05,-0.32,0.95,-0.29,-3.63,0.92,-4.96,4.74,15.01,0,0,0,0.85,0.68,9.74,0.581444025039673
,0,0.01,-0.08,-0.31,0.95,-0.17,-3.59,0.97,-7.02,5.08,11.96,0,0,0,1.53,0.64,9.66,0.597162246704102
,0,-0,-0.11,-0.3,0.95,0.06,-3.18,1.09,-7.87,4.19,9.44,0,0,0,1.83,0.63,9.61,0.614989519119263
,0,-0,-0.12,-0.3,0.95,0.35,-2.28,1.01,-11.72,1.27,9.17,0,0,0,2.3,0.63,9.51,0.631933689117432
,0,-0.01,-0.14,-0.29,0.95,0.46,-1.84,0.91,-15.94,-0.2,7.88,0,0,0,2.63,0.67,9.42,0.647298574447632
,0,-0.01,-0.15,-0.28,0.95,0.32,-1.41,0.72,-16.48,-0.69,5.99,0,0,0,2.76,0.68,9.38,0.665485382080078
,0,-0.01,-0.15,-0.28,0.95,0.3,-0.53,0.52,-17.43,-0.2,3.04,0,0,0,2.91,0.7,9.33,0.682011127471924
,0,-0.01,-0.15,-0.28,0.95,-0.06,0.64,0.19,-16.91,1.31,3.05,0,0,0,2.85,0.69,9.35,0.697945833206177
,0,-0.01,-0.14,-0.28,0.95,-0.27,1.24,0.13,-13.18,2.01,5.55,0,0,0,2.62,0.61,9.42,0.715751886367798
,0,-0.01,-0.14,-0.27,0.95,-0.57,0.39,0.53,9.51,7.6,5.78,0,0,0,2.59,0.55,9.44,0.732384443283081
,0,-0.02,-0.12,-0.27,0.95,-1.24,1.35,0.18,7.23,-1.14,-3.4,0,0,0,2.4,0.37,9.49,0.747495889663696
,0,-0.02,-0.09,-0.27,0.96,-1.18,3.06,0.34,0.23,-3.15,11.7,0,0,0,2.12,0.26,9.57,0.765226125717163
,0,-0.01,-0.08,-0.27,0.96,-0.24,2.45,-0.02,-1.08,-7,14.56,0,0,0,1.58,0.16,9.67,0.782364130020142
,0,-0.01,-0.06,-0.27,0.96,0.5,1.81,-0.4,1.47,1.29,12.32,0,0,0,1.24,0.23,9.72,0.797791004180908
,0,0,-0.05,-0.28,0.96,0.62,1.74,-0.4,0.78,3.46,12.25,0,0,0,0.9,0.35,9.75,0.815557479858398
,0,0.01,-0.04,-0.28,0.96,0.57,1.77,-0.1,0.51,2.42,13.92,0,0,0,0.73,0.41,9.77,0.832679510116577
,0,0.02,-0.03,-0.28,0.96,0.2,1.07,0.04,0.19,1.96,15.73,0,0,0,0.47,0.46,9.78,0.847975492477417
,0,0.02,-0.03,-0.28,0.96,0.01,0.65,-0.02,-1.83,2.03,13.57,0,0,0,0.41,0.46,9.78,0.865618705749512
,0,0.02,-0.02,-0.28,0.96,-0.22,0.25,0.04,1.94,1,9.06,0,0,0,0.36,0.42,9.79,0.882957458496094
,0,0.02,-0.02,-0.28,0.96,-0.2,0.29,-0.09,0.35,1.39,10.54,0,0,0,0.29,0.39,9.79,0.898724794387817
,0,0.01,-0.02,-0.28,0.96,-0.19,0.14,-0.1,0.36,0.77,10.66,0,0,0,0.28,0.37,9.79,0.915618181228638
,0,0.01,-0.02,-0.28,0.96,-0.12,0.01,-0.13,0.42,1.26,10.35,0,0,0,0.27,0.34,9.79,0.93230152130127
,0,0.01,-0.02,-0.28,0.96,-0.15,0.05,-0.12,0.97,0.66,9.94,0,0,0,0.27,0.31,9.79,0.947625875473022
,0,0.01,-0.02,-0.28,0.96,-0.16,-0.01,-0.09,1.33,0.89,9.82,0,0,0,0.27,0.3,9.79,0.965651750564575
,0,0.01,-0.02,-0.28,0.96,-0.11,-0.01,-0.07,0.83,1.17,9.9,0,0,0,0.27,0.28,9.79,0.982018947601318
,0,0.01,-0.02,-0.28,0.96,-0.1,0.08,-0.05,0.6,0.89,10.32,0,0,0,0.26,0.26,9.79,0.997778654098511
,0,0.01,-0.02,-0.28,0.96,-0.09,0.06,-0.03,0.78,0.94,9.79,0,0,0,0.25,0.25,9.79,1.01561498641968
,0,0.01,-0.02,-0.28,0.96,-0.07,0.07,-0.04,-0.13,1.31,10.15,0,0,0,0.24,0.23,9.8,1.03253602981567
,0,0.01,-0.02,-0.28,0.96,-0.05,0.05,-0.04,0,0.71,10.25,0,0,0,0.24,0.23,9.8,1.04824185371399
,0,0.01,-0.02,-0.28,0.96,-0.03,0.02,-0.04,0.41,0.74,9.91,0,0,0,0.23,0.23,9.8,1.06586289405823
,0,0.01,-0.01,-0.28,0.96,-0.04,0.06,-0.03,0.54,0.77,9.73,0,0,0,0.23,0.22,9.8,1.08222317695618
,0,0.01,-0.01,-0.28,0.96,-0.04,-0,-0.04,0.7,0.83,10.08,0,0,0,0.23,0.21,9.8,1.09821200370789
,0,0.01,-0.01,-0.28,0.96,-0.03,-0.02,-0.04,1.05,1,9.4,0,0,0,0.23,0.21,9.8,1.11589980125427
,0,0.01,-0.01,-0.28,0.96,-0.03,0.01,-0.03,1.16,0.85,9.69,0,0,0,0.23,0.21,9.8,1.13350701332092
,0,0.01,-0.01,-0.28,0.96,-0.02,0.01,-0.02,1.55,0.94,9.42,0,0,0,0.22,0.2,9.8,1.14974927902222
,0,0.01,-0.01,-0.28,0.96,-0.02,0.05,-0.02,1.32,0.96,9.47,0,0,0,0.22,0.2,9.8,1.16695404052734
,0,0.01,-0.01,-0.28,0.96,-0.02,0.01,-0.03,0.93,0.92,9.58,0,0,0,0.22,0.2,9.8,1.18418288230896
,0,0.01,-0.01,-0.28,0.96,-0.03,-0.03,-0.04,0.78,0.96,9.58,0,0,0,0.22,0.19,9.8,1.20098233222961
,0,0.01,-0.01,-0.28,0.96,-0.04,0.02,-0.03,0.52,0.96,9.89,0,0,0,0.21,0.18,9.8,1.21752381324768
,0,0.01,-0.01,-0.28,0.96,-0.04,0.04,-0.02,0.43,0.81,10.01,0,0,0,0.21,0.18,9.8,1.23478651046753
,0,0.01,-0.01,-0.28,0.96,-0.04,0.02,-0.01,0.23,0.87,10.04,0,0,0,0.2,0.17,9.8,1.25310969352722
,0,0.01,-0.01,-0.28,0.96,-0.04,0.02,-0.01,0.46,0.81,9.87,0,0,0,0.2,0.16,9.8,1.26876473426819
,0,0.01,-0.01,-0.28,0.96,-0.04,0.02,-0.02,0.89,0.87,9.74,0,0,0,0.21,0.18,9.8,1.28566932678223
,0,0.01,-0.01,-0.29,0.96,-0.03,-0,-0.03,0.82,0.71,9.87,0,0,0,0.23,0.2,9.8,1.30433654785156
,0,0.01,-0.02,-0.29,0.96,-0.02,0,-0.04,1.24,0.81,9.9,0,0,0,0.25,0.22,9.8,1.31899476051331
,0,0.01,-0.02,-0.29,0.96,-0.01,0.01,-0.04,1.18,0.98,9.39,0,0,0,0.25,0.22,9.8,1.33599138259888
,0,0.01,-0.02,-0.29,0.96,-0.02,0.06,-0.03,1.23,0.8,9.54,0,0,0,0.24,0.21,9.8,1.35509347915649
,0,0.01,-0.01,-0.29,0.96,-0.02,0.13,-0.03,0.96,0.49,9.93,0,0,0,0.22,0.21,9.8,1.36970901489258
,0,0.01,-0.01,-0.29,0.96,-0.03,0.1,-0.04,0.86,0.87,9.53,0,0,0,0.22,0.22,9.8,1.38600182533264
,0,0.01,-0.01,-0.29,0.96,-0.03,0.14,-0.05,0.33,0.64,9.85,0,0,0,0.2,0.22,9.8,1.40505790710449
,0,0.01,-0.01,-0.29,0.96,-0.03,0.14,-0.06,-0.59,0.47,8.84,0,0,0,0.17,0.21,9.8,1.41979265213013
,0,0.01,-0.01,-0.29,0.96,-0.04,0.16,-0.04,-0.05,0.68,10.66,0,0,0,0.16,0.2,9.8,1.43716788291931
,0,0.01,-0.01,-0.29,0.96,-0.01,0.1,0.02,1.1,1.74,9.39,0,0,0,0.13,0.2,9.8,1.45626592636108
,0,0.01,-0.01,-0.29,0.96,-0.01,0.18,0.05,2.09,1.17,10.39,0,0,0,0.1,0.2,9.8,1.47057580947876
,0,0.01,-0.01,-0.29,0.96,-0.02,0.32,-0,1.32,1.35,9.98,0,0,0,0.07,0.2,9.8,1.48715972900391
,0,0.01,-0,-0.29,0.96,-0.04,0.59,-0.02,1.4,0.93,9.66,0,0,0,-0.02,0.19,9.8,1.50624799728394
,0,0.01,0.01,-0.29,0.96,-0.1,0.96,-0.09,0.2,0.42,10.24,0,0,0,-0.18,0.17,9.8,1.52061915397644
,0,0.01,0.01,-0.29,0.96,-0.08,1.08,-0.06,0.39,0.91,10.04,0,0,0,-0.28,0.16,9.8,1.53696227073669
,0,0.02,0.02,-0.29,0.96,0,1.46,-0.04,0.7,1.08,9.57,0,0,0,-0.54,0.16,9.79,1.55637788772583
,0,0.02,0.04,-0.29,0.96,0,2.01,0.13,-0.26,1.22,9.56,0,0,0,-0.89,0.17,9.76,1.57052969932556
,0,0.02,0.05,-0.29,0.96,0.02,2.41,0.22,-0.92,-0.5,13.56,0,0,0,-1.11,0.17,9.74,1.5874547958374
,0,0.03,0.07,-0.28,0.96,0.23,2.21,0.27,0.77,0.48,9.55,0,0,0,-1.53,0.2,9.68,1.6064305305481
,0,0.04,0.1,-0.28,0.95,-0.21,2.91,0.04,6.12,-2.67,12.17,0,0,0,-2.04,0.18,9.58,1.62113070487976
,0,0.04,0.12,-0.28,0.95,-0.23,3.96,-0.41,-1.31,-0.68,12.6,0,0,0,-2.41,0.15,9.5,1.63750720024109
,0,0.06,0.16,-0.29,0.94,0.95,5.54,-0.81,4.25,3.54,14.27,0,0,0,-3.35,0.23,9.21,1.65690541267395
,0,0.1,0.22,-0.29,0.93,1.99,7.59,-0.5,5.31,3.92,9.35,0,0,0,-4.58,0.47,8.65,1.67179322242737
,0,0.12,0.26,-0.29,0.91,2.13,7.95,-0.73,6.17,-2.06,12.88,0,0,0,-5.24,0.61,8.26,1.68782758712769
,0,0.14,0.32,-0.31,0.89,1.36,6.36,-2.84,-15.65,-0.93,26.18,0,0,0,-6.35,0.6,7.44,1.70674514770508
,0,0.13,0.33,-0.33,0.87,-0.04,-0.34,-2.28,10.53,2.95,9.67,0,0,0,-6.49,0.18,7.34,1.72118735313416
,0,0.13,0.32,-0.34,0.87,0.02,-1.06,-1.33,10.4,6.01,6.35,0,0,0,-6.42,0.1,7.4,1.73748373985291
,0,0.12,0.32,-0.35,0.87,-0.11,-0.99,-1.24,6.55,6.57,9.53,0,0,0,-6.33,-0.08,7.48,1.75640106201172
,0,0.12,0.31,-0.36,0.87,0.1,-1.66,-0.3,4.63,4.88,8.95,0,0,0,-6.11,-0.13,7.66,1.77084755897522
,0,0.11,0.3,-0.36,0.88,0.1,-2.01,0.14,4.11,3.31,8.74,0,0,0,-5.96,-0.12,7.78,1.78720712661743
,0,0.11,0.28,-0.35,0.89,0.19,-2.69,0.68,3.12,1.05,8.41,0,0,0,-5.57,-0.03,8.06,1.8062527179718
,0,0.1,0.25,-0.35,0.9,0.23,-3.23,0.75,1.56,-1.31,8.72,0,0,0,-5.07,0.08,8.38,1.8207221031189
,0,0.1,0.23,-0.35,0.9,0.2,-3.42,0.66,0.84,-1.75,8.68,0,0,0,-4.79,0.13,8.55,1.8369197845459
,0,0.09,0.2,-0.35,0.91,0.12,-3.81,0.29,-0.64,-2.53,7.83,0,0,0,-4.16,0.19,8.87,1.85627508163452
,0,0.08,0.17,-0.35,0.92,0.12,-3.86,-0.17,-1.03,-0.76,8.87,0,0,0,-3.49,0.2,9.16,1.87180781364441
,0,0.07,0.15,-0.36,0.92,0.16,-3.88,-0.3,-0.98,-0.12,9.5,0,0,0,-3.14,0.2,9.28,1.88715505599976
,0,0.06,0.11,-0.36,0.92,0.22,-3.84,-0.31,-0.59,0.64,10.21,0,0,0,-2.44,0.22,9.49,1.90606188774109
,0,0.05,0.08,-0.37,0.93,0.43,-3.55,-0.23,-1.47,1.54,14.28,0,0,0,-1.77,0.28,9.64,1.92119908332825
,0,0.04,0.06,-0.37,0.93,0.57,-3.49,-0.2,-3.26,4.42,18.31,0,0,0,-1.45,0.33,9.69,1.93736338615417
,0,0.04,0.03,-0.37,0.93,0.56,-3.83,0.23,-4.97,6.49,17.72,0,0,0,-0.74,0.44,9.76,1.95642518997192
,0,0.03,-0.01,-0.36,0.93,0.38,-4.03,0.99,-7.68,5.77,14.86,0,0,0,0.01,0.53,9.79,1.97163152694702
