Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.37,0.82,-0.27,0.35,0.77,2.12,-0.58,-10.87,-0.2,-5.72,0,0,0,-7.59,-1.82,-5.92,0.247920274734497
,0,0.37,0.82,-0.27,0.34,0.63,1.89,-0.47,-10.17,-0.72,-5.16,0,0,0,-7.48,-1.89,-6.04,0.263902187347412
,0,0.37,0.83,-0.27,0.33,0.57,1.49,-0.27,-9.17,-0.91,-0.89,0,0,0,-7.27,-2.01,-6.25,0.279407262802124
,0,0.37,0.83,-0.27,0.32,0.5,1.17,-0.15,-7.92,-0.29,-0.06,0,0,0,-7.15,-2.09,-6.37,0.296245098114014
,0,0.38,0.83,-0.27,0.31,0.66,0.45,0.15,-6.97,0.63,-0.98,0,0,0,-7.12,-2.12,-6.39,0.314038276672363
,0,0.38,0.82,-0.28,0.31,0.5,-0.25,0.34,-6.51,1,-1.26,0,0,0,-7.15,-2.14,-6.35,0.329267263412476
,0,0.38,0.82,-0.28,0.32,0.4,-0.54,0.42,-6.15,1.07,-1.82,0,0,0,-7.25,-2.12,-6.25,0.346194267272949
,0,0.39,0.82,-0.28,0.32,0.07,-1.02,0.57,-6.1,0.91,-1.54,0,0,0,-7.32,-2.08,-6.17,0.363688468933105
,0,0.39,0.81,-0.29,0.34,-0.26,-1.51,0.71,-5.8,0.29,-1.64,0,0,0,-7.51,-1.97,-5.98,0.379314661026001
,0,0.39,0.8,-0.29,0.36,-0.38,-1.75,0.78,-6.12,-0.11,-2.07,0,0,0,-7.75,-1.8,-5.72,0.396407842636108
,0,0.39,0.8,-0.29,0.37,-0.5,-2.26,0.91,-6.96,-0.64,-1.96,0,0,0,-7.89,-1.7,-5.56,0.413806200027466
,0,0.38,0.78,-0.29,0.39,-0.44,-2.68,1.04,-7.78,-0.87,-2.36,0,0,0,-8.19,-1.5,-5.17,0.42957878112793
,0,0.38,0.77,-0.29,0.42,-0.39,-2.88,1.1,-9.01,-1.38,-2.74,0,0,0,-8.5,-1.28,-4.7,0.446499109268188
,0,0.38,0.75,-0.3,0.45,-0.22,-3.19,1.21,-8.98,-1.68,-2.99,0,0,0,-8.66,-1.17,-4.44,0.46434497833252
,0,0.38,0.74,-0.3,0.46,-0.14,-3.47,1.24,-10.25,-0.85,-3.23,0,0,0,-8.96,-0.95,-3.86,0.479932308197021
,0,0.38,0.72,-0.31,0.49,-0.08,-3.59,1.27,-10.99,-0.22,-3.82,0,0,0,-9.23,-0.71,-3.22,0.49664306640625
,0,0.38,0.7,-0.31,0.52,-0.25,-3.76,1.35,-11.42,-0.23,-3.92,0,0,0,-9.35,-0.58,-2.89,0.514301061630249
,0,0.37,0.69,-0.32,0.54,-0.48,-3.8,1.35,-12.25,0.15,-3.96,0,0,0,-9.55,-0.31,-2.19,0.531440258026123
,0,0.37,0.66,-0.32,0.57,-0.59,-3.84,1.36,-12.35,0.27,-4.64,0,0,0,-9.69,-0.04,-1.48,0.547390699386597
,0,0.36,0.64,-0.32,0.6,-0.94,-3.92,1.34,-12.54,0.13,-5.05,0,0,0,-9.74,0.09,-1.11,0.564780712127686
,0,0.35,0.63,-0.32,0.62,-1.26,-3.85,1.28,-12.78,-0.19,-5.18,0,0,0,-9.79,0.35,-0.37,0.581459522247314
,0,0.34,0.61,-0.31,0.65,-1.33,-3.73,1.26,-12.31,-0.49,-5.65,0,0,0,-9.78,0.59,0.33,0.597112655639648
,0,0.33,0.59,-0.31,0.67,-1.39,-3.36,1.24,-11.81,-0.74,-5.95,0,0,0,-9.75,0.7,0.65,0.614999771118164
,0,0.32,0.58,-0.3,0.69,-1.22,-2.76,1.11,-9.31,-1.38,-8.01,0,0,0,-9.68,0.9,1.22,0.632082223892212
,0,0.32,0.56,-0.3,0.7,-1.08,-2.38,0.99,-7.65,-1.1,-9.09,0,0,0,-9.6,1.04,1.65,0.647372245788574
,0,0.31,0.55,-0.29,0.71,-0.86,-1.49,0.69,-6.58,-0.98,-8.92,0,0,0,-9.57,1.09,1.79,0.665453433990479
,0,0.31,0.55,-0.29,0.72,-0.56,-0.46,0.32,-5.77,-1.08,-9,0,0,0,-9.54,1.14,1.94,0.682005643844604
,0,0.31,0.56,-0.29,0.72,-0.42,0.07,0.13,-5.74,-0.32,-9.35,0,0,0,-9.55,1.13,1.89,0.697839498519897
,0,0.31,0.57,-0.29,0.71,-0.31,1.11,-0.25,-5.6,-0.29,-9.12,0,0,0,-9.57,1.11,1.79,0.715768575668335
,0,0.31,0.57,-0.29,0.7,-0.34,1.7,-0.67,-17.18,4,23.81,0,0,0,-9.64,0.98,1.49,0.732635974884033
,0,0.31,0.58,-0.28,0.7,0.13,0.76,0.23,-10.3,3.21,-0.67,0,0,0,-9.66,1.03,1.3,0.747495889663696
,0,0.31,0.58,-0.28,0.69,-0.41,0.6,0.03,-10.22,-1.67,2.37,0,0,0,-9.67,1.02,1.19,0.765384197235107
,0,0.31,0.59,-0.28,0.69,0.03,0.89,-0.09,-12.01,-4.13,1.1,0,0,0,-9.69,1.01,1.1,0.782469272613525
,0,0.32,0.6,-0.28,0.68,0.15,1.23,-0.35,-12.13,0.5,-0.17,0,0,0,-9.71,0.96,0.88,0.797796249389648
,0,0.32,0.6,-0.28,0.68,0.05,1.19,-0.3,-10.75,1.3,-0.47,0,0,0,-9.74,0.91,0.66,0.815571784973145
,0,0.32,0.61,-0.28,0.67,-0.09,1.02,-0.26,-9.54,2.52,-2.12,0,0,0,-9.74,0.88,0.57,0.832685708999634
,0,0.31,0.62,-0.27,0.67,-0.87,0.98,-0.26,-10.3,2.66,-2.7,0,0,0,-9.76,0.83,0.39,0.848315238952637
,0,0.31,0.63,-0.26,0.67,-1.25,0.93,-0.21,-10.5,1.97,-3.16,0,0,0,-9.76,0.8,0.32,0.865603685379028
,0,0.3,0.63,-0.26,0.67,-1.26,0.84,-0.14,-10.08,0.06,-0.94,0,0,0,-9.77,0.77,0.17,0.883185148239136
,0,0.3,0.64,-0.25,0.66,-0.32,0.7,-0.04,-9.87,-1.11,-0.85,0,0,0,-9.77,0.75,0.04,0.898442268371582
,0,0.31,0.64,-0.25,0.66,0.13,0.65,0.02,-10.19,-1.24,-0.45,0,0,0,-9.77,0.76,-0.07,0.915438652038574
,0,0.31,0.64,-0.25,0.65,0.79,0.55,0.09,-10.02,-0.26,-0.3,0,0,0,-9.77,0.77,-0.13,0.932301998138428
,0,0.32,0.64,-0.26,0.65,0.84,0.54,0.11,-9.44,1.2,-0.16,0,0,0,-9.77,0.79,-0.24,0.947755813598633
,0,0.32,0.64,-0.26,0.64,0.68,0.52,0.1,-9.71,1.56,0.05,0,0,0,-9.76,0.8,-0.35,0.965712070465088
,0,0.32,0.65,-0.26,0.64,0.27,0.57,0.1,-10.24,3.04,-1.04,0,0,0,-9.76,0.81,-0.4,0.982122421264648
,0,0.32,0.65,-0.25,0.64,-0.37,0.56,0.1,-9.75,1.8,-1.65,0,0,0,-9.75,0.83,-0.51,0.998015403747559
,0,0.32,0.65,-0.25,0.64,-0.46,0.57,0.09,-10.15,1.16,-1.05,0,0,0,-9.75,0.84,-0.56,1.0159969329834
,0,0.32,0.65,-0.25,0.64,-0.26,0.47,0.06,-10.08,0.33,-1.82,0,0,0,-9.74,0.86,-0.64,1.0327844619751
,0,0.32,0.66,-0.24,0.63,-0.03,0.45,-0,-10.27,0.89,-1.53,0,0,0,-9.74,0.86,-0.72,1.04842972755432
,0,0.32,0.66,-0.24,0.63,0.09,0.48,-0.03,-10.09,1.68,-1.21,0,0,0,-9.73,0.86,-0.77,1.06594800949097
,0,0.32,0.66,-0.24,0.63,-0.06,0.5,-0.05,-9.38,1.8,-2.07,0,0,0,-9.73,0.85,-0.86,1.08223390579224
,0,0.32,0.67,-0.24,0.63,-0.17,0.55,-0.08,-9.83,0.73,-1.63,0,0,0,-9.72,0.84,-0.96,1.09824681282043
,0,0.32,0.67,-0.24,0.62,-0.08,0.52,-0.07,-9.88,0.27,-1.22,0,0,0,-9.71,0.83,-1.01,1.11591982841492
,0,0.33,0.67,-0.24,0.62,0.17,0.42,-0.03,-9.62,0.46,-1.07,0,0,0,-9.7,0.82,-1.1,1.1334981918335
,0,0.33,0.67,-0.24,0.62,0.32,0.33,0.01,-9.64,1.36,-1.06,0,0,0,-9.7,0.81,-1.17,1.14974904060364
,0,0.33,0.67,-0.24,0.62,0.31,0.32,0.03,-9.57,1.74,-0.69,0,0,0,-9.69,0.81,-1.23,1.16694712638855
,0,0.33,0.67,-0.24,0.61,-0.01,0.3,0.02,-9.5,1.8,-0.93,0,0,0,-9.69,0.81,-1.26,1.18419671058655
,0,0.33,0.68,-0.24,0.61,-0.27,0.37,-0.02,-9.69,1.61,-0.81,0,0,0,-9.68,0.82,-1.32,1.20120477676392
,0,0.33,0.68,-0.23,0.61,-0.33,0.38,-0.03,-9.53,1,-1.37,0,0,0,-9.67,0.82,-1.39,1.21753692626953
,0,0.33,0.68,-0.23,0.61,-0.35,0.41,-0.08,-9.43,0.72,-1.68,0,0,0,-9.66,0.82,-1.42,1.23479247093201
,0,0.33,0.69,-0.23,0.61,-0.13,0.48,-0.09,-9.45,0.91,-1.34,0,0,0,-9.65,0.8,-1.51,1.25348210334778
,0,0.33,0.69,-0.23,0.6,0.1,0.55,-0.1,-9.36,1.26,-1.3,0,0,0,-9.64,0.78,-1.6,1.26874732971191
,0,0.33,0.69,-0.23,0.6,0.17,0.58,-0.11,-9.38,1.37,-1.42,0,0,0,-9.63,0.77,-1.66,1.28565835952759
,0,0.33,0.69,-0.23,0.6,0.18,0.63,-0.15,-9.54,1,-1.25,0,0,0,-9.61,0.74,-1.78,1.30434346199036
,0,0.33,0.7,-0.23,0.59,0.28,0.71,-0.18,-9.71,1.34,-1.11,0,0,0,-9.59,0.71,-1.9,1.3189868927002
,0,0.33,0.7,-0.23,0.59,0.28,0.74,-0.2,-9.78,1.34,-1.08,0,0,0,-9.57,0.67,-2.02,1.33580327033997
,0,0.34,0.71,-0.23,0.58,0.19,0.77,-0.24,-9.8,1.65,-1.22,0,0,0,-9.55,0.65,-2.09,1.35492920875549
,0,0.34,0.71,-0.23,0.58,0.1,0.82,-0.27,-9.55,1.4,-2.23,0,0,0,-9.52,0.59,-2.24,1.37000823020935
,0,0.34,0.71,-0.23,0.57,0.06,0.85,-0.3,-9.84,1.26,-1.87,0,0,0,-9.49,0.54,-2.4,1.38625049591064
