Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.11,-0.01,-0.49,0.87,-0.22,0.2,-0.2,-0.94,2.51,9.72,0,0,0,-0.96,1.99,9.55,0.214727878570557
,0,0.11,-0,-0.49,0.87,-0.29,0.13,-0.15,0.03,2.32,9.56,0,0,0,-0.99,1.93,9.56,0.231440782546997
,0,0.11,-0,-0.49,0.86,-0.36,0.2,-0.2,0.04,1.87,9.99,0,0,0,-1.02,1.9,9.56,0.24666953086853
,0,0.11,0,-0.49,0.86,-0.28,0.1,-0.2,-0.83,1.69,10.14,0,0,0,-1.07,1.84,9.57,0.264932632446289
,0,0.11,0.01,-0.49,0.86,-0.27,0.48,-0.31,-0.78,1.47,9.92,0,0,0,-1.18,1.78,9.56,0.28162407875061
,0,0.11,0.01,-0.49,0.86,-0.18,0.74,-0.25,-1.87,1.26,10.35,0,0,0,-1.25,1.77,9.56,0.296377420425415
,0,0.12,0.02,-0.5,0.86,-0.07,0.87,-0.25,-0.52,1.31,9.41,0,0,0,-1.44,1.76,9.53,0.314583539962769
,0,0.12,0.03,-0.5,0.86,0.07,1.18,-0.17,0.42,1.7,9.64,0,0,0,-1.68,1.76,9.49,0.331824779510498
,0,0.13,0.04,-0.5,0.86,0.04,1.68,-0.3,1.08,1.86,9.58,0,0,0,-1.84,1.76,9.46,0.346782922744751
,0,0.14,0.06,-0.5,0.86,0.06,2.25,-0.39,0.19,2.27,10.71,0,0,0,-2.31,1.76,9.36,0.36481785774231
,0,0.15,0.09,-0.5,0.85,0.09,3.16,-0.56,-0.48,3.24,11.86,0,0,0,-2.93,1.74,9.19,0.381839275360107
,0,0.16,0.1,-0.5,0.85,-0.06,3.9,-0.65,-1.96,2.45,13.34,0,0,0,-3.29,1.71,9.07,0.39703631401062
,0,0.18,0.15,-0.49,0.84,-0.24,4.41,-0.83,0.55,5.06,11.4,0,0,0,-4.15,1.58,8.73,0.415275812149048
,0,0.21,0.2,-0.49,0.82,-0.26,6.21,-0.69,-0.65,3.87,12.49,0,0,0,-5.26,1.5,8.13,0.432178974151611
,0,0.23,0.23,-0.48,0.81,-0.05,7.59,-0.79,2.58,7.52,20.9,0,0,0,-5.86,1.45,7.72,0.446879625320435
,0,0.25,0.28,-0.48,0.79,-0.19,6.94,-1.12,-10.1,7.75,29.41,0,0,0,-6.72,1.23,7.02,0.465399742126465
,0,0.25,0.29,-0.48,0.79,-0.23,1.58,-1.11,2.06,6.46,14.73,0,0,0,-6.86,1.09,6.92,0.482258081436157
,0,0.25,0.29,-0.49,0.79,-0.09,-0.5,-0.57,4.63,6.37,8.27,0,0,0,-6.83,1.04,6.95,0.497708797454834
,0,0.24,0.29,-0.49,0.79,-0.22,-0.66,-0.41,3.3,5.86,8.72,0,0,0,-6.73,0.97,7.05,0.515140056610107
,0,0.23,0.28,-0.49,0.79,-0.16,-1.11,-0.02,3.19,5.78,8.4,0,0,0,-6.56,0.96,7.22,0.532551527023315
,0,0.23,0.27,-0.49,0.8,0.04,-1.77,0.46,2.63,5.02,7.62,0,0,0,-6.43,1,7.33,0.547923803329468
,0,0.22,0.25,-0.49,0.8,0.09,-2.04,0.65,1.57,2.93,8.08,0,0,0,-6.1,1.1,7.59,0.565912008285522
