Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.26,0.79,-0.14,0.54,0.16,0.86,-0.06,-9.81,1.53,-2.3,0,0,0,-9.02,0.6,-3.78,0.214627981185913
,0,0.26,0.79,-0.14,0.53,0.27,0.97,-0.12,-10.06,1.13,-2.05,0,0,0,-8.99,0.58,-3.86,0.231584310531616
,0,0.26,0.8,-0.14,0.52,0.35,1.04,-0.13,-10.25,0.28,-2.46,0,0,0,-8.91,0.53,-4.05,0.246827602386475
,0,0.27,0.8,-0.14,0.51,0.59,1.22,-0.15,-10.45,-0.16,-2.33,0,0,0,-8.81,0.45,-4.28,0.265048265457153
,0,0.27,0.81,-0.14,0.5,0.97,1.45,-0.14,-10.21,-1.82,-1.78,0,0,0,-8.75,0.4,-4.4,0.281764507293701
,0,0.28,0.81,-0.15,0.49,1.24,1.62,-0.14,-10.66,-2.99,-1.67,0,0,0,-8.59,0.25,-4.7,0.296382427215576
,0,0.29,0.82,-0.16,0.46,1.97,2,-0.1,-11.75,-2.86,-0.8,0,0,0,-8.4,0.03,-5.05,0.31459379196167
,0,0.3,0.82,-0.17,0.45,2.47,2.25,-0.07,-12.93,-1,-1.21,0,0,0,-8.29,-0.09,-5.23,0.331759214401245
,0,0.31,0.83,-0.18,0.43,2.47,2.25,-0.07,-12.35,0.68,-2.72,0,0,0,-8.04,-0.36,-5.59,0.346767425537109
,0,0.32,0.84,-0.19,0.4,2.31,2.42,-0.19,-12.56,0.77,-2.57,0,0,0,-7.77,-0.64,-5.94,0.364820957183838
,0,0.33,0.84,-0.2,0.39,1.48,2.5,-0.5,-11.99,1.5,-4.23,0,0,0,-7.62,-0.77,-6.12,0.381741285324097
,0,0.33,0.85,-0.2,0.36,1.17,2.49,-0.55,-11.16,2.14,-6.2,0,0,0,-7.3,-1,-6.46,0.396867990493774
,0,0.33,0.86,-0.2,0.34,0.85,2.5,-0.57,-10.95,2.07,-6.58,0,0,0,-6.97,-1.17,-6.79,0.415273666381836
,0,0.34,0.86,-0.2,0.33,-0.07,2.28,-0.49,-10.86,1.65,-7.11,0,0,0,-6.81,-1.2,-6.94,0.432173252105713
,0,0.34,0.87,-0.19,0.31,-0.39,2.18,-0.46,-9.93,-0.14,-6.3,0,0,0,-6.5,-1.23,-7.23,0.446907043457031
,0,0.33,0.88,-0.18,0.29,-0.67,1.98,-0.41,-9.71,-0.31,-4.71,0,0,0,-6.23,-1.17,-7.47,0.465395927429199
,0,0.34,0.88,-0.18,0.29,-0.77,1.27,-0.24,-8.66,-0.4,-2.12,0,0,0,-6.13,-1.13,-7.56,0.482249975204468
,0,0.33,0.88,-0.17,0.28,-0.34,0.5,-0.03,-6.54,-0.51,-1.94,0,0,0,-6.03,-1.07,-7.65,0.497683525085449
