Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
137,11,104,635,686,0,219,378,201,0,0,32,13,0,4,4,0.219472646713257
119,9,91,619,690,2,178,353,199,0,0,32,0,0,6,1,0.229488372802734
143,57,78,642,697,1,142,338,178,0,1,37,0,0,10,3,0.239664554595947
140,8,72,649,701,0,140,300,186,1,0,42,0,0,9,2,0.250316381454468
78,6,40,661,706,121,75,291,155,1,0,41,0,0,5,2,0.260462284088135
274,151,77,670,645,0,76,259,164,0,6,62,0,0,6,2,0.270954370498657
181,23,77,614,708,71,73,248,165,4,0,50,0,0,11,0,0.281611442565918
98,90,64,597,694,2,76,217,158,0,1,70,0,0,7,0,0.291384935379028
129,15,76,562,688,3,104,127,166,1,2,56,0,0,7,3,0.301247358322144
199,9,114,534,637,6,119,175,167,0,0,31,2,0,8,3,0.311728477478027
130,103,75,488,499,17,119,181,179,2,14,141,0,0,9,1,0.322262525558472
145,11,120,400,405,9,161,193,153,3,2,64,1,0,10,35,0.333268404006958
57,15,3,322,327,9,195,220,170,7,0,75,6,0,13,2,0.343443155288696
30,3,0,206,222,0,208,229,165,0,0,67,2,0,11,0,0.353535890579224
4,1,3,142,204,3,265,225,169,1,22,61,4,15,10,8,0.363890647888184
1,2,6,61,73,118,155,180,115,64,2,78,2,0,11,35,0.37398099899292
3,0,1,1,9,116,111,276,49,205,1,83,0,0,51,1,0.383774518966675
2,0,1,0,79,0,148,11,3,0,8,102,0,67,7,24,0.39394736289978
3,13,6,0,7,8,8,15,2,6,33,125,1,0,7,4,0.403864860534668
11,6,113,0,2,2,0,4,0,3,20,111,54,1,10,129,0.414132595062256
3,9,37,10,4,11,6,13,0,2,90,151,0,1,7,1,0.423993349075317
0,4,13,1,1,50,0,123,0,94,5,120,36,2,7,28,0.433969020843506
4,0,15,5,0,0,4,3,0,2,15,78,0,0,7,41,0.443233251571655
0,7,2,0,1,0,8,2,0,0,2,131,1,2,5,9,0.452959060668945
0,2,9,0,2,42,6,79,0,32,4,136,0,0,9,12,0.462872743606567
2,7,1,0,0,6,0,18,0,7,4,160,0,0,8,11,0.472636699676514
55,87,82,6,16,1,13,13,3,1,59,243,0,2,6,1,0.483012437820435
106,0,232,0,0,0,0,0,0,0,1,72,5,0,6,172,0.493039608001709
2,102,3,7,1,24,0,25,0,0,57,225,0,0,7,13,0.503011465072632
2,89,12,2,52,3,70,10,2,3,6,143,0,0,5,7,0.512460947036743
6,0,6,0,0,3,0,0,0,0,0,135,0,0,6,21,0.522082328796387
1,1,0,0,0,0,0,6,0,0,4,119,0,0,6,7,0.532036304473877
0,2,0,0,106,0,49,0,97,0,1,138,0,0,7,5,0.54172420501709
3,57,0,0,0,3,0,0,8,0,3,188,0,0,5,10,0.551403760910034
6,6,2,0,4,43,12,25,2,0,0,144,0,0,11,10,0.561374664306641
2,9,2,0,6,0,1,1,1,0,1,147,0,0,6,10,0.571332693099976
4,0,2,0,32,0,5,2,85,0,0,147,0,0,11,11,0.581203937530518
4,38,23,0,8,3,0,0,2,0,4,162,1,0,5,2,0.590773344039917
